,Protein,ENSG,UniProt,Source,Score
0,MLH1,ENSG00000076242,P40692,uniprot_swissprot,0.9258016561279235
1,MSH2,ENSG00000095002,P43246,uniprot_swissprot,0.923689750929165
2,MSH6,ENSG00000116062,P52701,uniprot_swissprot,0.9125611746651084
3,PMS2,ENSG00000122512,P54278,uniprot_swissprot,0.8815809900706456
4,APC,ENSG00000134982,P25054,uniprot_swissprot,0.8534220993289415
5,BRAF,ENSG00000157764,P15056,uniprot_swissprot,0.8341489519636373
6,TP53,ENSG00000141510,P04637,uniprot_swissprot,0.8286180170049536
7,PIK3CA,ENSG00000121879,P42336,uniprot_swissprot,0.8169593499458484
8,SMAD4,ENSG00000141646,Q13485,uniprot_swissprot,0.7945813701697446
9,KRAS,ENSG00000133703,P01116,uniprot_swissprot,0.7861070739887148
10,FBXO11,ENSG00000138081,Q86XK2,uniprot_swissprot,0.7834699597373164
11,MLH3,ENSG00000119684,Q9UHC1,uniprot_swissprot,0.7828000527954524
12,EPCAM,ENSG00000119888,P16422,uniprot_swissprot,0.7804437289458845
13,MUTYH,ENSG00000132781,Q9UIF7,uniprot_swissprot,0.7683896067952877
14,TGFBR2,ENSG00000163513,P37173,uniprot_swissprot,0.7588180123278323
15,TCF7L2,ENSG00000148737,Q9NQB0,uniprot_swissprot,0.7523449191760846
16,ATM,ENSG00000149311,Q13315,uniprot_swissprot,0.750371720719484
17,FBXW7,ENSG00000109670,Q969H0,uniprot_swissprot,0.7492178747290742
18,EGFR,ENSG00000146648,P00533,uniprot_swissprot,0.7488598129263622
19,KDR,ENSG00000128052,P35968,uniprot_swissprot,0.743932068397458
20,KIT,ENSG00000157404,P10721,uniprot_swissprot,0.7404497514500746
21,FLT4,ENSG00000037280,P35916,uniprot_swissprot,0.7390116366854944
22,AMER1,ENSG00000184675,Q5JTC6,uniprot_swissprot,0.7354836047785659
23,EP300,ENSG00000100393,Q09472,uniprot_swissprot,0.7350145769563959
24,POLE,ENSG00000177084,Q07864,uniprot_swissprot,0.7343718264012724
25,ARID1A,ENSG00000117713,O14497,uniprot_swissprot,0.7332074600603904
26,FGFR2,ENSG00000066468,P21802,uniprot_swissprot,0.7307812959929837
27,POLD1,ENSG00000062822,P28340,uniprot_swissprot,0.7279743821240261
28,FLCN,ENSG00000154803,Q8NFG4,uniprot_swissprot,0.7242880745888319
29,NTRK1,ENSG00000198400,P04629,uniprot_swissprot,0.7214084625009771
30,SMAD3,ENSG00000166949,P84022,uniprot_swissprot,0.7169677949638226
31,RAF1,ENSG00000132155,P04049,uniprot_swissprot,0.7123293425758729
32,AXIN2,ENSG00000168646,Q9Y2T1,uniprot_swissprot,0.7108084149085474
33,FGFR3,ENSG00000068078,P22607,uniprot_swissprot,0.7085073545662393
34,RET,ENSG00000165731,P07949,uniprot_swissprot,0.7076827082378279
35,CTNNB1,ENSG00000168036,P35222,uniprot_swissprot,0.7055410405502658
36,FGFR1,ENSG00000077782,P11362,uniprot_swissprot,0.701236327475891
