,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
0,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03590262', 'NCT03639545']",MONDO_0005147,type 1 diabetes mellitus
1,PTGS1,prostaglandin-endoperoxide synthase 1,ASPIRIN,Small molecule,CHEMBL25,4.0,['NCT01397513'],MONDO_0005147,type 1 diabetes mellitus
2,NDUFAF4,NADH:ubiquinone oxidoreductase complex assembly factor 4,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03570632', 'NCT03513874']",MONDO_0005147,type 1 diabetes mellitus
3,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03513874', 'NCT03570632']",MONDO_0005147,type 1 diabetes mellitus
4,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03513874', 'NCT03570632']",MONDO_0005147,type 1 diabetes mellitus
5,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03590262', 'NCT03639545']",MONDO_0005147,type 1 diabetes mellitus
6,NDUFB10,NADH:ubiquinone oxidoreductase subunit B10,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT00145379', 'NCT02407899', 'NCT03928340', 'NCT01813929', 'NCT01718093', 'NCT00118937', 'NCT02765347']",MONDO_0005147,type 1 diabetes mellitus
7,INSR,insulin receptor,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,Protein,CHEMBL1201540,4.0,['NCT05614089'],MONDO_0005147,type 1 diabetes mellitus
8,IMPDH1,inosine monophosphate dehydrogenase 1,MYCOPHENOLATE MOFETIL,Small molecule,CHEMBL1456,4.0,['NCT03582878'],MONDO_0005147,type 1 diabetes mellitus
9,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03590262', 'NCT03639545']",MONDO_0005147,type 1 diabetes mellitus
10,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03639545', 'NCT03590262']",MONDO_0005147,type 1 diabetes mellitus
11,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT01718093', 'NCT01813929', 'NCT02407899', 'NCT00118937', 'NCT03928340', 'NCT00145379', 'NCT02765347']",MONDO_0005147,type 1 diabetes mellitus
12,NDUFB3,NADH:ubiquinone oxidoreductase subunit B3,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT01718093', 'NCT02407899', 'NCT00145379', 'NCT01813929', 'NCT03928340', 'NCT00118937', 'NCT02765347']",MONDO_0005147,type 1 diabetes mellitus
13,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT00118937', 'NCT00145379', 'NCT01813929', 'NCT02765347', 'NCT02407899', 'NCT01718093', 'NCT03928340']",MONDO_0005147,type 1 diabetes mellitus
14,NDUFAF2,NADH:ubiquinone oxidoreductase complex assembly factor 2,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT00145379', 'NCT01813929', 'NCT02765347', 'NCT00118937', 'NCT02407899', 'NCT01718093', 'NCT03928340']",MONDO_0005147,type 1 diabetes mellitus
15,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03570632', 'NCT03513874']",MONDO_0005147,type 1 diabetes mellitus
16,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03639545', 'NCT03590262']",MONDO_0005147,type 1 diabetes mellitus
17,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03570632', 'NCT03513874']",MONDO_0005147,type 1 diabetes mellitus
18,XDH,xanthine dehydrogenase,FEBUXOSTAT,Small molecule,CHEMBL1164729,4.0,['NCT02344602'],MONDO_0005147,type 1 diabetes mellitus
19,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03570632', 'NCT03513874']",MONDO_0005147,type 1 diabetes mellitus
20,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03570632', 'NCT03513874']",MONDO_0005147,type 1 diabetes mellitus
21,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03639545', 'NCT03590262']",MONDO_0005147,type 1 diabetes mellitus
22,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT02765347', 'NCT02407899', 'NCT01718093', 'NCT03928340', 'NCT01813929', 'NCT00145379', 'NCT00118937']",MONDO_0005147,type 1 diabetes mellitus
23,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,METFORMIN,Small molecule,CHEMBL1431,4.0,"['NCT03513874', 'NCT03570632']",MONDO_0005147,type 1 diabetes mellitus
