,Protein,ENSG,UniProt,Source,Score
0,INS,ENSG00000254647,P01308,uniprot_swissprot,0.6883347205543369
1,HNF1A,ENSG00000135100,P20823,uniprot_swissprot,0.6834776266263421
2,ANG,ENSG00000214274,P03950,uniprot_swissprot,0.6706951221042823
3,NDUFA4,ENSG00000189043,O00483,uniprot_swissprot,0.6231097526989227
4,INSR,ENSG00000171105,P06213,uniprot_swissprot,0.6169156834145532
5,IL2RA,ENSG00000134460,P01589,uniprot_swissprot,0.609746859619593
6,GLP1R,ENSG00000112164,P43220,uniprot_swissprot,0.6016621834105983
7,CTLA4,ENSG00000163599,P16410,uniprot_swissprot,0.5877545764768909
8,DPP4,ENSG00000197635,P27487,uniprot_swissprot,0.5872774879374882
9,GPD2,ENSG00000115159,P43304,uniprot_swissprot,0.585142944338498
10,NDUFS8,ENSG00000110717,O00217,uniprot_swissprot,0.5848424658018467
11,MT-ND2,ENSG00000198763,P03891,uniprot_swissprot,0.5846233870768752
12,MT-ND1,ENSG00000198888,P03886,uniprot_swissprot,0.584472885947162
13,NDUFB4,ENSG00000065518,O95168,uniprot_swissprot,0.5836897475805047
14,MT-ND3,ENSG00000198840,P03897,uniprot_swissprot,0.5831793564557656
15,MT-ND4,ENSG00000198886,P03905,uniprot_swissprot,0.5831793564557656
16,MT-ND5,ENSG00000198786,P03915,uniprot_swissprot,0.5831793564557656
17,MT-ND4L,ENSG00000212907,P03901,uniprot_swissprot,0.5831793564557656
18,NDUFB7,ENSG00000099795,P17568,uniprot_swissprot,0.5831206943557835
19,MT-ND6,ENSG00000198695,P03923,uniprot_swissprot,0.5829945665284232
20,NDUFAB1,ENSG00000004779,O14561,uniprot_swissprot,0.5829945665284232
21,NDUFS3,ENSG00000213619,O75489,uniprot_swissprot,0.5829945665284232
22,NDUFB1,ENSG00000183648,O75438,uniprot_swissprot,0.5829871038764164
23,NDUFA12,ENSG00000184752,Q9UI09,uniprot_swissprot,0.5826249866737385
24,NDUFA6,ENSG00000184983,P56556,uniprot_swissprot,0.5826249866737385
25,NDUFS6,ENSG00000145494,O75380,uniprot_swissprot,0.5826249866737385
26,NDUFA9,ENSG00000139180,Q16795,uniprot_swissprot,0.5826249866737385
27,NDUFB5,ENSG00000136521,O43674,uniprot_swissprot,0.5826249866737385
28,NDUFB2,ENSG00000090266,O95178,uniprot_swissprot,0.5826249866737385
29,NDUFC2,ENSG00000151366,O95298,uniprot_swissprot,0.5826249866737385
30,NDUFV1,ENSG00000167792,P49821,uniprot_swissprot,0.5826249866737385
31,NDUFA1,ENSG00000125356,O15239,uniprot_swissprot,0.5826249866737385
32,NDUFS4,ENSG00000164258,O43181,uniprot_swissprot,0.5826249866737385
33,NDUFS5,ENSG00000168653,O43920,uniprot_swissprot,0.5826249866737385
34,NDUFV3,ENSG00000160194,P56181,uniprot_swissprot,0.5826249866737385
35,NDUFB10,ENSG00000140990,O96000,uniprot_swissprot,0.5826249866737385
36,NDUFB6,ENSG00000165264,O95139,uniprot_swissprot,0.5826249866737385
37,NDUFA4L2,ENSG00000185633,Q9NRX3,uniprot_swissprot,0.5826249866737385
38,NDUFA8,ENSG00000119421,P51970,uniprot_swissprot,0.5826249866737385
39,NDUFB9,ENSG00000147684,Q9Y6M9,uniprot_swissprot,0.5826249866737385
40,NDUFB3,ENSG00000119013,O43676,uniprot_swissprot,0.5826249866737385
41,NDUFAF4,ENSG00000123545,Q9P032,uniprot_swissprot,0.5826249866737385
42,NDUFS7,ENSG00000115286,O75251,uniprot_swissprot,0.5826249866737385
43,NDUFAF1,ENSG00000137806,Q9Y375,uniprot_swissprot,0.5826249866737385
44,NDUFAF3,ENSG00000178057,Q9BU61,uniprot_swissprot,0.5826249866737385
45,NDUFA10,ENSG00000130414,O95299,uniprot_swissprot,0.5826249866737385
46,NDUFB11,ENSG00000147123,Q9NX14,uniprot_swissprot,0.5826249866737385
47,NDUFA13,ENSG00000186010,Q9P0J0,uniprot_swissprot,0.5826249866737385
48,NDUFAF2,ENSG00000164182,Q8N183,uniprot_swissprot,0.5826249866737385
49,NDUFB8,ENSG00000166136,O95169,uniprot_swissprot,0.5826249866737385
50,NDUFS1,ENSG00000023228,P28331,uniprot_swissprot,0.5826249866737385
51,NDUFA11,ENSG00000174886,Q86Y39,uniprot_swissprot,0.5826249866737385
52,NDUFA2,ENSG00000131495,O43678,uniprot_swissprot,0.5826249866737385
53,NDUFA7,ENSG00000267855,O95182,uniprot_swissprot,0.5826249866737385
54,NDUFC1,ENSG00000109390,O43677,uniprot_swissprot,0.5826249866737385
55,NDUFA5,ENSG00000128609,Q16718,uniprot_swissprot,0.5826249866737385
56,NDUFS2,ENSG00000158864,O75306,uniprot_swissprot,0.5826249866737385
57,NDUFA3,ENSG00000170906,O95167,uniprot_swissprot,0.5826249866737385
58,NDUFV2,ENSG00000178127,P19404,uniprot_swissprot,0.5826249866737385
59,SLC5A2,ENSG00000140675,P31639,uniprot_swissprot,0.5748221710472691
60,CALCR,ENSG00000004948,P30988,uniprot_swissprot,0.5720289646556151
61,GCGR,ENSG00000215644,P47871,uniprot_swissprot,0.5636568901691162
62,VDR,ENSG00000111424,P11473,uniprot_swissprot,0.5516770386266965
63,HMGCR,ENSG00000113161,P04035,uniprot_swissprot,0.5406522844254847
64,FOXP3,ENSG00000049768,Q9BZS1,uniprot_swissprot,0.5403334897956066
65,PTPN22,ENSG00000134242,Q9Y2R2,uniprot_swissprot,0.5235713187216318
66,BACH2,ENSG00000112182,Q9BYV9,uniprot_swissprot,0.5189766756994177
67,KCNJ11,ENSG00000187486,Q14654,uniprot_swissprot,0.5145872660470568
68,FKBP1A,ENSG00000088832,P62942,uniprot_swissprot,0.5088867771381098
69,CD226,ENSG00000150637,Q15762,uniprot_swissprot,0.5064974711280885
70,CD3E,ENSG00000198851,P07766,uniprot_swissprot,0.5001369522388516
71,SH2B3,ENSG00000111252,Q9UQQ2,uniprot_swissprot,0.49807797458047987
72,IMPDH1,ENSG00000106348,P20839,uniprot_swissprot,0.4892763136451554
73,IMPDH2,ENSG00000178035,P12268,uniprot_swissprot,0.48868804748592354
74,PPARG,ENSG00000132170,P37231,uniprot_swissprot,0.4836094960616417
75,GLIS3,ENSG00000107249,Q8NEA6,uniprot_swissprot,0.4810920721465269
76,KCNJ8,ENSG00000121361,Q15842,uniprot_swissprot,0.4625291881379043
77,UBASH3A,ENSG00000160185,P57075,uniprot_swissprot,0.46191684383466003
78,CTSH,ENSG00000103811,P09668,uniprot_swissprot,0.46166882364207484
79,TCF7L2,ENSG00000148737,Q9NQB0,uniprot_swissprot,0.45793162621548716
80,IGF2,ENSG00000167244,P01344,uniprot_swissprot,0.4546918495347412
81,CLEC16A,ENSG00000038532,Q2KHT3,uniprot_swissprot,0.45379696342416037
82,ITPR3,ENSG00000096433,Q14573,uniprot_swissprot,0.45297354662268446
83,AIRE,ENSG00000160224,O43918,uniprot_swissprot,0.44637227920722816
84,SIRPG,ENSG00000089012,Q9P1W8,uniprot_swissprot,0.44320121370581184
85,PTPN2,ENSG00000175354,P17706,uniprot_swissprot,0.44139465009431084
86,RTL1,ENSG00000254656,A6NKG5,uniprot_swissprot,0.4391842029456646
87,PAX4,ENSG00000106331,O43316,uniprot_swissprot,0.4302401648721101
88,AFF3,ENSG00000144218,P51826,uniprot_swissprot,0.4274945593689978
89,IKZF1,ENSG00000185811,Q13422,uniprot_swissprot,0.42161081178652826
90,BAK1,ENSG00000030110,Q16611,uniprot_swissprot,0.4202953192848011
91,ANKRD55,ENSG00000164512,Q3KP44,uniprot_swissprot,0.41716103400839016
92,FOSL2,ENSG00000075426,P15408,uniprot_swissprot,0.41477284587719637
93,ABCC8,ENSG00000006071,Q09428,uniprot_swissprot,0.41127054651400385
94,ZSCAN16,ENSG00000196812,Q9H4T2,uniprot_swissprot,0.41041488147655203
95,FLI1,ENSG00000151702,Q01543,uniprot_swissprot,0.4097379822564152
96,INS-IGF2,ENSG00000129965,F8WCM5,uniprot_swissprot,0.4091052257279756
97,PTGS2,ENSG00000073756,P35354,uniprot_swissprot,0.40637322154314987
98,CENPW,ENSG00000203760,Q5EE01,uniprot_swissprot,0.40509228387587276
99,RNLS,ENSG00000184719,Q5VYX0,uniprot_swissprot,0.40382251449228185
100,PGM1,ENSG00000079739,P36871,uniprot_swissprot,0.40246616126639206
101,PTGS1,ENSG00000095303,P23219,uniprot_swissprot,0.40126106111684035
102,IFIH1,ENSG00000115267,Q9BYX4,uniprot_swissprot,0.40077052765643406
103,RASGRP1,ENSG00000172575,O95267,uniprot_swissprot,0.40065398523590384
104,MS4A1,ENSG00000156738,P11836,uniprot_swissprot,0.4000599265891151
