,name,count,logLR,meddraCode,chembl_id
0,lactic acidosis,6963,25298.18733144371,10023676,CHEMBL1431
1,acute kidney injury,4852,9161.227742826188,10069339,CHEMBL1431
2,hypoglycaemia,2496,5499.64190009539,10020993,CHEMBL1431
3,metabolic acidosis,2158,5487.641843472287,10027417,CHEMBL1431
4,toxicity to various agents,1803,1991.2245380925306,10070863,CHEMBL1431
5,hyperkalaemia,1115,1772.6340880465286,10020646,CHEMBL1431
6,diabetes mellitus inadequate control,589,1213.4788412479684,10012607,CHEMBL1431
7,shock,668,1201.0960880314524,10040560,CHEMBL1431
8,hyperlactacidaemia,359,1094.5935516741301,10020660,CHEMBL1431
9,anuria,444,954.7532770682883,10002847,CHEMBL1431
10,hyperglycaemia,698,938.9413436462637,10020635,CHEMBL1431
11,renal failure,1034,891.138891388633,10038435,CHEMBL1431
12,pemphigoid,386,790.0380129753903,10034277,CHEMBL1431
13,diabetic metabolic decompensation,231,740.1230435229372,10074309,CHEMBL1431
14,hypoglycaemic coma,270,689.6983884744695,10021000,CHEMBL1431
15,glycosylated haemoglobin increased,403,671.8420090086875,10018484,CHEMBL1431
16,hypotension,1340,584.0924827406416,10021097,CHEMBL1431
17,diabetic ketoacidosis,466,535.1124339377857,10012671,CHEMBL1431
18,suicide attempt,710,534.0651707382349,10042464,CHEMBL1431
19,blood lactic acid increased,247,519.0451570320874,10005635,CHEMBL1431
20,diarrhoea,2243,508.2987367011665,10012735,CHEMBL1431
21,blood glucose increased,660,488.6432019303611,10005557,CHEMBL1431
22,vitamin b12 deficiency,195,479.2169549067621,10047609,CHEMBL1431
23,hypothermia,307,467.6626076202956,10021113,CHEMBL1431
24,renal failure acute,639,447.6808302925492,10038436,CHEMBL1431
25,vomiting,1785,412.31785747763934,10047700,CHEMBL1431
26,ketoacidosis,222,391.4873677598662,10023379,CHEMBL1431
27,myalgia,1265,2133.582527162922,10028411,CHEMBL1138
28,rhabdomyolysis,778,1635.9732467939684,10039020,CHEMBL1138
29,blood creatine phosphokinase increased,635,1327.2257785393667,10005470,CHEMBL1138
30,myopathy,179,389.2053250220415,10028641,CHEMBL1138
31,liver function test abnormal,245,311.5562504892514,10024690,CHEMBL1138
32,low density lipoprotein increased,134,286.4850298012534,10024910,CHEMBL1138
33,muscular weakness,291,233.9764147879323,10028372,CHEMBL1138
34,hepatic enzyme increased,234,210.5749942112452,10060795,CHEMBL1138
35,aspartate aminotransferase increased,236,182.55407976235438,10003481,CHEMBL1138
36,alanine aminotransferase increased,249,179.74029383907327,10001551,CHEMBL1138
37,myositis,93,151.20656967256946,10028653,CHEMBL1138
38,pain in extremity,384,146.237245974502,10033425,CHEMBL1138
39,pancreatitis,183,145.5261854363198,10033645,CHEMBL1138
40,muscle spasms,277,141.6946276957242,10028334,CHEMBL1138
41,venous pressure jugular increased,37,137.10438119619357,10047240,CHEMBL1138
42,muscle cramp,48,134.32192095876962,10028294,CHEMBL1138
43,pemphigoid,62,228.10922015321103,10034277,CHEMBL227529
44,pancreatitis acute,31,56.23782024989396,10033647,CHEMBL227529
45,interstitial lung disease,33,46.319068208150384,10022611,CHEMBL227529
46,hypoglycaemia,33,45.767219050977474,10020993,CHEMBL227529
47,lumbosacral radiculoplexus neuropathy,6,42.343435546176806,,CHEMBL227529
48,spondylolysis,7,37.950286781162504,10052013,CHEMBL227529
49,pancreatitis,30,37.13719572401169,10033645,CHEMBL227529
50,pancreatic carcinoma,13,30.88744221316938,10033609,CHEMBL227529
51,cerebral infarction,20,30.057949549517616,10008118,CHEMBL227529
52,heart disease congenital,10,28.769004185775884,10019273,CHEMBL227529
53,diabetic neuropathy,8,21.447905418944174,10012680,CHEMBL227529
54,body temperature decreased,11,21.11448008705156,10005910,CHEMBL227529
55,colon cancer,11,20.036477450388702,10009944,CHEMBL227529
56,erythema multiforme,12,19.791361856836374,10015218,CHEMBL227529
57,change of bowel habit,6,18.755383217298913,10008399,CHEMBL227529
58,tonsil cancer,5,18.24479881897605,10044002,CHEMBL227529
59,blood glucose increased,21,15.994036926192166,10005557,CHEMBL227529
60,hyporeflexia,6,15.867395892056265,10021089,CHEMBL227529
61,rhabdomyolysis,19,15.844404695702906,10039020,CHEMBL227529
62,fatigue,9,14.761889728578353,10016256,CHEMBL227529
63,intestinal obstruction,13,14.678285801757738,10022687,CHEMBL227529
64,gastric cancer,7,14.37229870264946,10017758,CHEMBL227529
65,pancreatic carcinoma stage iv,3,13.77290770765012,10059326,CHEMBL227529
66,diabetic nephropathy,5,13.651856057153964,10061835,CHEMBL227529
67,lactic acidosis,14,13.187099074425532,10023676,CHEMBL227529
68,bile duct cancer,4,13.001553348506604,10004593,CHEMBL227529
69,cachexia,6,12.87979244874714,10006895,CHEMBL227529
70,hepatic function abnormal,14,12.234456122580923,10019670,CHEMBL227529
71,altered state of consciousness,11,12.064332365719565,10001854,CHEMBL227529
72,impaired quality of life,5,11.87346275811069,10076936,CHEMBL227529
73,blood glucose increased,1731,5488.698164145084,10005557,CHEMBL1201538
74,hypoglycaemia,977,2751.5325039361996,10020993,CHEMBL1201538
75,blood glucose decreased,351,1000.9303168660335,10005555,CHEMBL1201538
76,blood glucose abnormal,211,638.2910834635259,10005554,CHEMBL1201538
77,glycosylated haemoglobin increased,239,631.6658947131145,10018484,CHEMBL1201538
78,diabetes mellitus inadequate control,195,483.06131086387177,10012607,CHEMBL1201538
79,hyperglycaemia,257,473.9415152861475,10020635,CHEMBL1201538
80,diabetic ketoacidosis,231,442.4190015005297,10012671,CHEMBL1201538
81,wrong drug administered,149,401.3681952737679,10048055,CHEMBL1201538
82,hypoglycaemic coma,116,375.1228041418872,10021000,CHEMBL1201538
83,blood glucose fluctuation,97,268.8742890100839,10049803,CHEMBL1201538
84,hypoglycaemic unconsciousness,66,248.1233285524504,10065981,CHEMBL1201538
85,diabetic retinopathy,74,240.53024185896356,10012689,CHEMBL1201538
86,blindness,124,178.40705757938122,10005169,CHEMBL1201538
87,visual impairment,161,145.61102677132294,10047571,CHEMBL1201538
88,anti-insulin antibody positive,31,133.94767538108863,10053814,CHEMBL1201538
89,visual acuity reduced,108,127.96003034351452,10047531,CHEMBL1201538
90,pharmaceutical product complaint,93,127.8537131368139,10051327,CHEMBL1201538
91,intercepted product selection error,31,125.5524566650347,10076544,CHEMBL1201538
92,infusion site pain,63,124.50959079183667,10053483,CHEMBL1201538
93,ketoacidosis,62,124.49955621423578,10023379,CHEMBL1201538
94,insulin resistance,35,113.26776276982127,10022489,CHEMBL1201538
95,premature baby,108,108.3517983282436,10036590,CHEMBL1201538
96,hypoglycaemia unawareness,25,106.89435598868295,10020997,CHEMBL1201538
97,hypoglycaemic seizure,30,99.44195034480072,10048803,CHEMBL1201538
98,foetal disorder,31,96.76764437029487,10061157,CHEMBL1201538
99,cataract,99,96.3827979469861,10007739,CHEMBL1201538
100,diarrhoea,62,89.79308927835518,10012735,CHEMBL1201538
101,hypoglycaemia neonatal,33,83.5642231051097,10020994,CHEMBL1201538
102,rhabdomyolysis,250,483.021133042741,10039020,CHEMBL672
103,high density lipoprotein decreased,108,401.92031840190975,10020060,CHEMBL672
104,myalgia,241,249.30227384866885,10028411,CHEMBL672
105,pancreatitis acute,129,241.42420211457647,10033647,CHEMBL672
106,blood creatine phosphokinase increased,147,236.3222507432256,10005470,CHEMBL672
107,blood triglycerides increased,103,225.950179330237,10005839,CHEMBL672
108,drug interaction,217,155.526523357119,10013710,CHEMBL672
109,hepatic function abnormal,104,148.96563087983304,10019670,CHEMBL672
110,blood creatinine increased,126,139.73862384045788,10005483,CHEMBL672
111,myopathy,62,128.94490869055153,10028641,CHEMBL672
112,renal failure acute,120,127.28788358064776,10038436,CHEMBL672
113,drug-induced liver injury,81,113.54447038769649,10072268,CHEMBL672
114,liver disorder,86,107.57285620498806,10024670,CHEMBL672
115,hypertriglyceridaemia,48,103.05900265757737,10020869,CHEMBL672
116,drug hypersensitivity,202,98.99136053074471,10013700,CHEMBL672
117,pancreatitis,91,92.264566823309,10033645,CHEMBL672
118,photosensitivity reaction,54,87.97344801389409,10034972,CHEMBL672
119,liver function test abnormal,78,86.61540780431096,10024690,CHEMBL672
120,alanine aminotransferase increased,105,84.04944945701936,10001551,CHEMBL672
121,jaundice,70,81.41786699621662,10023126,CHEMBL672
122,aspartate aminotransferase increased,97,80.74881024169736,10003481,CHEMBL672
123,renal impairment,93,68.92695475531218,10062237,CHEMBL672
124,low density lipoprotein increased,34,59.47454486222341,10024910,CHEMBL672
125,renal failure,93,58.05270185792688,10038435,CHEMBL672
126,gamma-glutamyltransferase increased,55,57.21487333339974,10017693,CHEMBL672
127,hepatitis,52,52.72312800171494,10019717,CHEMBL672
128,cholestasis,46,49.15081716359418,10008635,CHEMBL672
129,ependymoma,11,48.216908647060336,10014967,CHEMBL672
130,myoglobin blood increased,19,47.87255516404548,10028625,CHEMBL672
131,chromaturia,38,47.6125073041585,10008796,CHEMBL672
132,blood glucose increased,333,953.8451980857772,10005557,CHEMBL1201540
133,hypoglycaemia,265,765.7425697464023,10020993,CHEMBL1201540
134,blood glucose decreased,132,429.4873142164379,10005555,CHEMBL1201540
135,diabetes mellitus inadequate control,72,205.3037002637866,10012607,CHEMBL1201540
136,glycosylated haemoglobin increased,72,202.75723188105076,10018484,CHEMBL1201540
137,blood glucose fluctuation,50,173.93199752231158,10049803,CHEMBL1201540
138,hyperglycaemia,75,148.57416832945273,10020635,CHEMBL1201540
139,anti-insulin antibody positive,25,137.03331642092053,10053814,CHEMBL1201540
140,hypoglycaemic unconsciousness,30,130.34730200071863,10065981,CHEMBL1201540
141,diabetic retinopathy,28,102.20796168884772,10012689,CHEMBL1201540
142,blood glucose abnormal,38,102.11820494059612,10005554,CHEMBL1201540
143,blindness,52,99.38928466824109,10005169,CHEMBL1201540
144,pharmaceutical product complaint,47,95.00428999550786,10051327,CHEMBL1201540
145,hypoglycaemia neonatal,24,85.74179838841701,10020994,CHEMBL1201540
146,hypoglycaemic coma,25,76.85266163303459,10021000,CHEMBL1201540
147,diabetic ketoacidosis,44,72.40310512064389,10012671,CHEMBL1201540
