,name,count,logLR,meddraCode,chembl_id
0,nicotine dependence,192,1122.894924517008,10057852,CHEMBL3
1,drug dependence,225,603.9267176219364,10013676,CHEMBL3
2,drug withdrawal syndrome neonatal,165,575.9152973867858,10013756,CHEMBL3
3,macular degeneration,114,388.47462428933795,10025409,CHEMBL3
4,premature baby,150,299.56098443422525,10036590,CHEMBL3
5,premature delivery,103,234.7427042035306,10036595,CHEMBL3
6,dependence,58,194.9394994438262,10012335,CHEMBL3
7,low birth weight baby,71,178.60429768159156,10067508,CHEMBL3
8,rhesus incompatibility,27,162.4302039383074,10063676,CHEMBL3
9,jaundice neonatal,43,155.15858689508605,10023138,CHEMBL3
10,application site pruritus,55,152.85264223803824,10003053,CHEMBL3
11,application site erythema,60,151.36240752202139,10003041,CHEMBL3
12,exposure via breast milk,39,125.80146108261397,10080751,CHEMBL3
13,foetal disorder,28,105.78832675572994,10061157,CHEMBL3
14,myocardial stunning,20,105.04306034939873,10072186,CHEMBL3
15,tobacco abuse,24,104.01726371311088,10043903,CHEMBL3
16,application site rash,34,88.87522274346702,10003054,CHEMBL3
17,drug abuse,83,86.02875766474244,10013654,CHEMBL3
18,poor feeding infant,22,82.96384187821968,10075316,CHEMBL3
19,alcohol abuse,28,79.11622978519154,10001584,CHEMBL3
20,maternal drugs affecting foetus,37,67.9188326749063,10026923,CHEMBL3
21,neutropenia neonatal,15,66.03063883623327,10029358,CHEMBL3
22,application site irritation,25,64.32637822969264,10003046,CHEMBL3
23,application site reaction,21,60.4070609957198,10003055,CHEMBL3
24,caesarean section,39,60.23494102873519,10006924,CHEMBL3
25,oligohydramnios,25,55.310612400237005,10030289,CHEMBL3
26,necrosis ischaemic,14,53.76396909720279,10028862,CHEMBL3
27,fatigue,28,50.746353150127106,10016256,CHEMBL3
28,application site vesicles,19,48.362652845858975,10048941,CHEMBL3
29,tobacco poisoning,8,45.01796651081895,10068887,CHEMBL3
30,application site dermatitis,12,44.17946139671403,10003036,CHEMBL3
31,palpitations,70,43.34523809741586,10033557,CHEMBL3
32,pneumonia streptococcal,14,42.92215160485648,10035735,CHEMBL3
33,tremor neonatal,12,42.34831946999839,10044575,CHEMBL3
34,beta haemolytic streptococcal infection,14,41.42873511347716,10052100,CHEMBL3
35,extrapyramidal disorder,1004,3275.6651189421245,10015832,CHEMBL54
36,neuroleptic malignant syndrome,944,3097.885267380945,10029282,CHEMBL54
37,dystonia,451,1153.9364026378753,10013983,CHEMBL54
38,akathisia,375,977.6811268003221,10001540,CHEMBL54
39,weight increased,806,938.1757923837722,10047899,CHEMBL54
40,self injurious behaviour,274,864.1248320133309,10063495,CHEMBL54
41,catatonia,228,632.8890929618356,10007776,CHEMBL54
42,sedation,330,621.8972864352982,10039897,CHEMBL54
43,muscle rigidity,262,602.6636782306305,10028330,CHEMBL54
44,parkinsonism,239,551.8135371565586,10034010,CHEMBL54
45,agitation,447,531.2644871251687,10001497,CHEMBL54
46,suicide attempt,440,506.2732913170912,10042464,CHEMBL54
47,electrocardiogram qt prolonged,363,481.7813932286663,10014387,CHEMBL54
48,tardive dyskinesia,213,463.6981827033451,10043118,CHEMBL54
49,somnolence,556,425.32544749470253,10041349,CHEMBL54
50,delirium,309,421.4584636654181,10012218,CHEMBL54
51,hyperprolactinaemia,149,412.74860724664177,10020737,CHEMBL54
52,sopor,255,412.57345478188654,10058709,CHEMBL54
53,salivary hypersecretion,178,395.54783065586525,10039424,CHEMBL54
54,dyskinesia,242,345.0797767613403,10013916,CHEMBL54
55,aggression,282,337.41635411890456,10001488,CHEMBL54
56,psychotic disorder,254,307.9504867819778,10061920,CHEMBL54
57,hypothermia,165,302.6107854077709,10021113,CHEMBL54
58,blood creatine phosphokinase increased,267,295.07159959994897,10005470,CHEMBL54
59,delusion,162,274.91651682328666,10012239,CHEMBL54
60,toxicity to various agents,408,270.056860327546,10070863,CHEMBL54
61,embolism venous,103,265.7515931933158,10014522,CHEMBL54
62,nausea,95,254.50348691440013,10028813,CHEMBL54
63,tremor,408,252.9772590209759,10044565,CHEMBL54
