,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
0,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,MEMANTINE HYDROCHLORIDE,Small molecule,CHEMBL1699,4.0,[],MONDO_0004975,Alzheimer disease
1,SCN7A,sodium voltage-gated channel alpha subunit 7,QUINIDINE SULFATE,Small molecule,CHEMBL3707183,4.0,['NCT01832350'],MONDO_0004975,Alzheimer disease
2,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,MEMANTINE HYDROCHLORIDE,Small molecule,CHEMBL1699,4.0,[],MONDO_0004975,Alzheimer disease
3,ACHE,acetylcholinesterase (Cartwright blood group),DONEPEZIL HYDROCHLORIDE,Small molecule,CHEMBL1678,4.0,[],MONDO_0004975,Alzheimer disease
4,ACHE,acetylcholinesterase (Cartwright blood group),GALANTAMINE,Small molecule,CHEMBL659,4.0,"['NCT00369603', 'NCT01181921']",MONDO_0004975,Alzheimer disease
5,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,MEMANTINE,Small molecule,CHEMBL807,4.0,[],MONDO_0004975,Alzheimer disease
6,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,MEMANTINE,Small molecule,CHEMBL807,4.0,[],MONDO_0004975,Alzheimer disease
7,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,MEMANTINE,Small molecule,CHEMBL807,4.0,"['NCT00334906', 'NCT01921972', 'NCT00120874', 'NCT00800709', 'NCT00401167', 'NCT00862940', 'NCT00469456', 'NCT00551161', 'NCT00505167', 'NCT02553928', 'NCT00476008', 'NCT01025466', 'NCT00234637', 'NCT00305903', 'NCT00933608']",MONDO_0004975,Alzheimer disease
8,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,MEMANTINE,Small molecule,CHEMBL807,4.0,"['NCT00866060', 'NCT03168997']",MONDO_0004975,Alzheimer disease
9,SCN9A,sodium voltage-gated channel alpha subunit 9,QUINIDINE,Small molecule,CHEMBL1294,4.0,['NCT01832350'],MONDO_0004975,Alzheimer disease
10,BCHE,butyrylcholinesterase,RIVASTIGMINE,Small molecule,CHEMBL636,4.0,['NCT03454646'],MONDO_0004975,Alzheimer disease
11,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,MEMANTINE,Small molecule,CHEMBL807,4.0,"['NCT03168997', 'NCT00866060']",MONDO_0004975,Alzheimer disease
12,ADRA1B,adrenoceptor alpha 1B,CARVEDILOL,Small molecule,CHEMBL723,4.0,['NCT01354444'],MONDO_0004975,Alzheimer disease
