,Protein,ENSG,UniProt,Source,Score,disease_id
0,PSEN1,ENSG00000080815,P49768,uniprot_swissprot,0.8671226426916842,MONDO_0004975
1,APP,ENSG00000142192,P05067,uniprot_swissprot,0.8438127152429187,MONDO_0004975
2,PSEN2,ENSG00000143801,P49810,uniprot_swissprot,0.70714709081368,MONDO_0004975
3,GRIN1,ENSG00000176884,Q05586,uniprot_swissprot,0.6880849383889996,MONDO_0004975
4,CDK5,ENSG00000164885,Q00535,uniprot_swissprot,0.6679894276514395,MONDO_0004975
5,SORL1,ENSG00000137642,Q92673,uniprot_swissprot,0.6634866669158971,MONDO_0004975
6,APOE,ENSG00000130203,P02649,uniprot_swissprot,0.6514779495878311,MONDO_0004975
7,ACHE,ENSG00000087085,P22303,uniprot_swissprot,0.6177717482337637,MONDO_0004975
8,HMGCR,ENSG00000113161,P04035,uniprot_swissprot,0.6134505796697128,MONDO_0004975
9,GRIN3B,ENSG00000116032,O60391,uniprot_swissprot,0.6077222694338583,MONDO_0004975
10,GRIN2B,ENSG00000273079,Q13224,uniprot_swissprot,0.6008532203472327,MONDO_0004975
11,GRIN2C,ENSG00000161509,Q14957,uniprot_swissprot,0.600732954613579,MONDO_0004975
12,GRIN2A,ENSG00000183454,Q12879,uniprot_swissprot,0.6006401296610849,MONDO_0004975
13,GRIN3A,ENSG00000198785,Q8TCU5,uniprot_swissprot,0.599692141731994,MONDO_0004975
14,GRIN2D,ENSG00000105464,O15399,uniprot_swissprot,0.599692141731994,MONDO_0004975
15,BCHE,ENSG00000114200,P06276,uniprot_swissprot,0.5974285247642479,MONDO_0004975
16,CDC25B,ENSG00000101224,P30305,uniprot_swissprot,0.5973903346717278,MONDO_0004975
17,HFE,ENSG00000010704,Q30201,uniprot_swissprot,0.5953181679495149,MONDO_0004975
18,ADAM10,ENSG00000137845,O14672,uniprot_swissprot,0.5872994494159965,MONDO_0004975
19,CDK5R1,ENSG00000176749,Q15078,uniprot_swissprot,0.5805707016580218,MONDO_0004975
20,ACE,ENSG00000159640,P12821,uniprot_swissprot,0.5674951874328579,MONDO_0004975
21,FOXO3,ENSG00000118689,O43524,uniprot_swissprot,0.5511872888339344,MONDO_0004975
22,SLC6A3,ENSG00000142319,Q01959,uniprot_swissprot,0.544046812861061,MONDO_0004975
23,GSK3B,ENSG00000082701,P49841,uniprot_swissprot,0.5380923250313722,MONDO_0004975
24,PSAP,ENSG00000197746,P07602,uniprot_swissprot,0.5362635516406955,MONDO_0004975
25,SCARB1,ENSG00000073060,Q8WTV0,uniprot_swissprot,0.5331934118538735,MONDO_0004975
26,PTGS2,ENSG00000073756,P35354,uniprot_swissprot,0.5293270026799106,MONDO_0004975
27,NDUFA8,ENSG00000119421,P51970,uniprot_swissprot,0.5279225231052671,MONDO_0004975
28,NDUFS5,ENSG00000168653,O43920,uniprot_swissprot,0.5272597042385893,MONDO_0004975
29,CDK4,ENSG00000135446,P11802,uniprot_swissprot,0.5261379875719714,MONDO_0004975
30,AXL,ENSG00000167601,P30530,uniprot_swissprot,0.5261379875719714,MONDO_0004975
31,AURKB,ENSG00000178999,Q96GD4,uniprot_swissprot,0.5261379875719714,MONDO_0004975
32,PLK1,ENSG00000166851,P53350,uniprot_swissprot,0.5261379875719714,MONDO_0004975
33,LSM6,ENSG00000164167,P62312,uniprot_swissprot,0.5261379875719714,MONDO_0004975
34,CDKN1A,ENSG00000124762,P38936,uniprot_swissprot,0.5261379875719714,MONDO_0004975
35,NDUFS2,ENSG00000158864,O75306,uniprot_swissprot,0.5258220787951596,MONDO_0004975
36,NDUFV2,ENSG00000178127,P19404,uniprot_swissprot,0.5245350485878508,MONDO_0004975
37,RIOK2,ENSG00000058729,Q9BVS4,uniprot_swissprot,0.5244154453403582,MONDO_0004975
38,CDKN1C,ENSG00000129757,P49918,uniprot_swissprot,0.5228869901678335,MONDO_0004975
39,NDUFS1,ENSG00000023228,P28331,uniprot_swissprot,0.5219352474495312,MONDO_0004975
40,PTGS1,ENSG00000095303,P23219,uniprot_swissprot,0.5210784787031085,MONDO_0004975
41,ATP6V1B2,ENSG00000147416,P21281,uniprot_swissprot,0.5202752766861325,MONDO_0004975
42,SMPD1,ENSG00000166311,P17405,uniprot_swissprot,0.5152932964277369,MONDO_0004975
43,CDK1,ENSG00000170312,P06493,uniprot_swissprot,0.5117992170461133,MONDO_0004975
44,AURKA,ENSG00000087586,O14965,uniprot_swissprot,0.5068154667299336,MONDO_0004975
45,APH1B,ENSG00000138613,Q8WW43,uniprot_swissprot,0.5060504152289313,MONDO_0004975
46,DDX39B,ENSG00000198563,Q13838,uniprot_swissprot,0.5039639235275583,MONDO_0004975
47,MTMR3,ENSG00000100330,Q13615,uniprot_swissprot,0.5030392466541774,MONDO_0004975
48,TARS2,ENSG00000143374,Q9BW92,uniprot_swissprot,0.5030392466541774,MONDO_0004975
49,MASTL,ENSG00000120539,Q96GX5,uniprot_swissprot,0.5030392466541774,MONDO_0004975
50,ATP6V1C1,ENSG00000155097,P21283,uniprot_swissprot,0.5027260746659692,MONDO_0004975
51,AKAP11,ENSG00000023516,Q9UKA4,uniprot_swissprot,0.5026949781071668,MONDO_0004975
52,NR1H2,ENSG00000131408,P55055,uniprot_swissprot,0.5022788211021029,MONDO_0004975
53,CDK12,ENSG00000167258,Q9NYV4,uniprot_swissprot,0.5012604633931973,MONDO_0004975
54,NDUFA9,ENSG00000139180,Q16795,uniprot_swissprot,0.500619970268824,MONDO_0004975
55,UQCRC1,ENSG00000010256,P31930,uniprot_swissprot,0.4993972915453086,MONDO_0004975
56,PI4KB,ENSG00000143393,Q9UBF8,uniprot_swissprot,0.499342162977125,MONDO_0004975
57,ATP6V1A,ENSG00000114573,P38606,uniprot_swissprot,0.4987952674758952,MONDO_0004975
58,CSNK1A1,ENSG00000113712,P48729,uniprot_swissprot,0.4978986406230196,MONDO_0004975
59,MTMR6,ENSG00000139505,Q9Y217,uniprot_swissprot,0.4976720718834108,MONDO_0004975
60,NDUFB7,ENSG00000099795,P17568,uniprot_swissprot,0.49766970356982154,MONDO_0004975
61,PIKFYVE,ENSG00000115020,Q9Y2I7,uniprot_swissprot,0.4974831715270942,MONDO_0004975
62,CDKN2A,ENSG00000147889,P42771,uniprot_swissprot,0.49731134869092763,MONDO_0004975
63,CDKN2A,ENSG00000147889,Q8N726,uniprot_swissprot,0.49731134869092763,MONDO_0004975
64,NDUFAB1,ENSG00000004779,O14561,uniprot_swissprot,0.4967616359376609,MONDO_0004975
65,CDKN2B,ENSG00000147883,P42772,uniprot_swissprot,0.4950283247408023,MONDO_0004975
66,CAMLG,ENSG00000164615,P49069,uniprot_swissprot,0.49420155075608413,MONDO_0004975
