,name,count,logLR,meddraCode,chembl_id
0,toxicity to various agents,10,23.87903587807108,10070863,CHEMBL2103738
1,skin burning sensation,4,15.135019202760418,10054786,CHEMBL2103738
2,polyneuropathy,4,14.241957065889096,10036105,CHEMBL2103738
3,metabolic acidosis,4,11.004239563085775,10027417,CHEMBL2103738
4,sleep disorder,4,9.72844341588359,10040984,CHEMBL2103738
5,therapeutic agent toxicity,2,8.498764278664225,10043408,CHEMBL2103738
6,tremor,5,8.141767526357853,10044565,CHEMBL2103738
7,serotonin syndrome,739,1814.1129110763577,10040108,CHEMBL549
8,electrocardiogram qt prolonged,751,1306.9982306632592,10014387,CHEMBL549
9,suicide attempt,769,1079.1125947455293,10042464,CHEMBL549
10,hyponatraemia,739,987.503147080628,10021036,CHEMBL549
11,drug interaction,1106,968.0543568532739,10013710,CHEMBL549
12,drug abuse,508,616.2258366496098,10013654,CHEMBL549
13,temperature regulation disorder,157,560.9828979060694,10061376,CHEMBL549
14,sopor,333,532.872542834375,10058709,CHEMBL549
15,agitation,492,504.560425022486,10001497,CHEMBL549
16,confusional state,660,492.02945474271837,10010305,CHEMBL549
17,anxiety,710,489.4474178603559,10002855,CHEMBL549
18,suicidal ideation,454,419.20079186682415,10042458,CHEMBL549
19,toxicity to various agents,580,415.59408202215855,10070863,CHEMBL549
20,restlessness,270,352.4002142823738,10038743,CHEMBL549
21,respiratory disorder neonatal,113,323.035214815769,10061484,CHEMBL549
22,tremor,524,315.297206007177,10044565,CHEMBL549
23,atrial septal defect,179,314.07084417296574,10003664,CHEMBL549
24,small for dates baby,150,310.78640485042706,10041092,CHEMBL549
25,mydriasis,185,309.3763563462853,10028521,CHEMBL549
26,akathisia,185,306.37302647890465,10001540,CHEMBL549
27,maternal drugs affecting foetus,168,293.5349045562325,10026923,CHEMBL549
28,depression,559,285.10746924733394,10012378,CHEMBL549
29,torsade de pointes,173,272.2066677513794,10044066,CHEMBL549
30,disinhibition,100,270.44104452808097,10013142,CHEMBL549
31,food allergy,115,269.7968700509664,10016946,CHEMBL549
32,coeliac disease,119,249.98416906181956,10009839,CHEMBL549
33,somnolence,500,235.05211150053947,10041349,CHEMBL549
34,hyperhidrosis,377,217.65112843332463,10020642,CHEMBL549
35,immunodeficiency,113,215.41184790963598,10061598,CHEMBL549
