,Protein,ENSG,UniProt,Source,Score
0,SCN2A,ENSG00000136531,Q99250,uniprot_swissprot,0.7182553668464586
1,DRD2,ENSG00000149295,P14416,uniprot_swissprot,0.7152158403521717
2,GRIN2A,ENSG00000183454,Q12879,uniprot_swissprot,0.6832266164313314
3,SCN3A,ENSG00000153253,Q9NY46,uniprot_swissprot,0.6316832429469526
4,GSK3B,ENSG00000082701,P49841,uniprot_swissprot,0.6260800631396359
5,HTR2A,ENSG00000102468,P28223,uniprot_swissprot,0.6138597941859298
6,HTR2C,ENSG00000147246,P28335,uniprot_swissprot,0.6118187299475175
7,DRD3,ENSG00000151577,P35462,uniprot_swissprot,0.6102902538525462
8,DRD4,ENSG00000069696,P21917,uniprot_swissprot,0.6093426722292947
9,SCN8A,ENSG00000196876,Q9UQD0,uniprot_swissprot,0.6078622195273808
10,IMPA1,ENSG00000133731,P29218,uniprot_swissprot,0.6075421728237628
11,SCN9A,ENSG00000169432,Q15858,uniprot_swissprot,0.607129636542856
12,SCN11A,ENSG00000168356,Q9UI33,uniprot_swissprot,0.6071281928715487
13,ALDH5A1,ENSG00000112294,P51649,uniprot_swissprot,0.6065569966266449
14,HTR1A,ENSG00000178394,P08908,uniprot_swissprot,0.6064739394935258
15,SCN5A,ENSG00000183873,Q14524,uniprot_swissprot,0.606204243234837
16,GSK3A,ENSG00000105723,P49840,uniprot_swissprot,0.60551120056861
17,SCN4A,ENSG00000007314,P35499,uniprot_swissprot,0.6052802935981252
18,SCN10A,ENSG00000185313,Q9Y5Y9,uniprot_swissprot,0.6052802935981252
19,SCN1A,ENSG00000144285,P35498,uniprot_swissprot,0.6052802935981252
20,SCN7A,ENSG00000136546,Q01118,uniprot_swissprot,0.6052802935981252
21,SLC6A4,ENSG00000108576,P31645,uniprot_swissprot,0.6044956576954036
