,name,count,logLR,meddraCode,chembl_id
0,hyperammonaemia,216,705.8218075541299,10020575,CHEMBL2105613
1,ammonia increased,207,703.2594243317872,10001946,CHEMBL2105613
2,convulsion,361,508.7636290485825,10010904,CHEMBL2105613
3,hyperammonaemic encephalopathy,79,241.47713601176656,10067327,CHEMBL2105613
4,seizure,233,201.46407378557342,10039906,CHEMBL2105613
5,mania,110,184.68541887698666,10026749,CHEMBL2105613
6,coma,166,179.16701795019617,10010071,CHEMBL2105613
7,tremor,260,166.24447859908832,10044565,CHEMBL2105613
8,confusional state,254,149.8415003261398,10010305,CHEMBL2105613
9,sedation,113,149.75207638819847,10039897,CHEMBL2105613
10,somnolence,257,137.68322229946352,10041349,CHEMBL2105613
11,parkinsonism,74,121.79330010444392,10034010,CHEMBL2105613
12,thrombocytopenia,244,121.10760828672937,10043554,CHEMBL2105613
13,extrapyramidal disorder,87,117.62662624348741,10015832,CHEMBL2105613
14,pancreatitis,142,116.92634632525733,10033645,CHEMBL2105613
15,encephalopathy,103,111.96795715367625,10014625,CHEMBL2105613
16,aggression,123,110.27161368822999,10001488,CHEMBL2105613
17,toxicity to various agents,208,106.81109556389129,10070863,CHEMBL2105613
18,foetal anticonvulsant syndrome,35,104.6591240605776,10066485,CHEMBL2105613
19,drug interaction,272,104.26588952108432,10013710,CHEMBL2105613
20,weight increased,210,96.11467774247285,10047899,CHEMBL2105613
21,akathisia,950,2657.2560479972162,10001540,CHEMBL1112
22,tardive dyskinesia,868,2451.8823684137606,10043118,CHEMBL1112
23,dystonia,774,1836.64280285743,10013983,CHEMBL1112
24,extrapyramidal disorder,726,1601.130783230241,10015832,CHEMBL1112
25,psychotic disorder,890,1498.657602235733,10061920,CHEMBL1112
26,neuroleptic malignant syndrome,664,1454.4196457701182,10029282,CHEMBL1112
27,weight increased,1427,1442.7543188042619,10047899,CHEMBL1112
28,sedation,710,1352.7026801967731,10039897,CHEMBL1112
29,schizophrenia,605,1337.7361429679586,10039626,CHEMBL1112
30,dyskinesia,743,1327.575831901515,10013916,CHEMBL1112
31,suicide attempt,1041,1313.8920547042508,10042464,CHEMBL1112
32,parkinsonism,505,1171.043338824442,10034010,CHEMBL1112
33,blood prolactin abnormal,265,1030.4401460770896,10005778,CHEMBL1112
34,delusion,471,950.6643609772291,10012239,CHEMBL1112
35,anosognosia,219,854.0773807014193,10068346,CHEMBL1112
36,gambling disorder,192,695.5180042514548,10078070,CHEMBL1112
37,sexual dysfunction,328,694.8527729827183,10040477,CHEMBL1112
38,mania,388,668.4210486716474,10026749,CHEMBL1112
39,disturbance in social behaviour,210,658.9541664112476,10061108,CHEMBL1112
40,"hallucination, auditory",365,627.3837157446687,,CHEMBL1112
41,suicidal ideation,679,598.4968903666158,10042458,CHEMBL1112
42,metabolic disorder,220,546.4613669666142,10058097,CHEMBL1112
43,restlessness,419,540.6947462226381,10038743,CHEMBL1112
44,aggression,479,488.1429354346328,10001488,CHEMBL1112
45,tremor,821,485.31280810300086,10044565,CHEMBL1112
46,obsessive-compulsive disorder,192,400.55500833535916,10029898,CHEMBL1112
47,salivary hypersecretion,226,395.95661221668706,10039424,CHEMBL1112
48,agitation,541,394.91703041391156,10001497,CHEMBL1112
49,hyperprolactinaemia,173,382.0020151708886,10020737,CHEMBL1112
50,personality change,205,370.4393553924747,10034719,CHEMBL1112
51,psychiatric decompensation,139,369.01116093897144,10067398,CHEMBL1112
52,muscle rigidity,241,367.8381840587681,10028330,CHEMBL1112
53,diarrhoea,208,366.7646259594767,10012735,CHEMBL1112
54,anxiety,811,365.9972282187664,10002855,CHEMBL1112
55,psychotic symptom,135,352.97334538762516,10079254,CHEMBL1112
56,oculogyric crisis,137,341.03069309880084,10030071,CHEMBL1112
57,abnormal behaviour,351,336.70796048907505,10061422,CHEMBL1112
58,blood creatine phosphokinase increased,386,306.99413929246657,10005470,CHEMBL1112
59,blood glucose increased,471,304.7072210442566,10005557,CHEMBL1112
60,serotonin syndrome,925,1994.3881425828731,10040108,CHEMBL1709
61,suicide attempt,1004,1169.350018532161,10042464,CHEMBL1709
62,suicidal ideation,919,989.6438829490216,10042458,CHEMBL1709
63,drug interaction,1450,959.9359935700777,10013710,CHEMBL1709
64,hyponatraemia,907,948.7228950259159,10021036,CHEMBL1709
65,drug abuse,774,865.3536212268518,10013654,CHEMBL1709
66,drug hypersensitivity,1434,692.7035691839992,10013700,CHEMBL1709
67,anxiety,1098,678.7370195808471,10002855,CHEMBL1709
68,agitation,734,674.4392458497023,10001497,CHEMBL1709
69,depression,1041,599.9999286707316,10012378,CHEMBL1709
70,tremor,925,579.191127472237,10044565,CHEMBL1709
71,somnolence,896,455.73701606105897,10041349,CHEMBL1709
72,confusional state,826,422.5349683383829,10010305,CHEMBL1709
73,akathisia,267,402.3025881710346,10001540,CHEMBL1709
74,toxicity to various agents,760,395.3246652733651,10070863,CHEMBL1709
75,agitation neonatal,126,348.61858289013617,10001500,CHEMBL1709
76,injection site pain,3,332.76877308660187,10022086,CHEMBL1709
77,sopor,311,331.13581307104323,10058709,CHEMBL1709
78,drug abuse,1622,4094.1369153530977,10013654,CHEMBL580
79,sopor,1161,3502.529200632169,10058709,CHEMBL580
80,somnolence,1171,1567.174884308508,10041349,CHEMBL580
81,suicide attempt,847,1418.8440637970198,10042464,CHEMBL580
82,coma,664,1218.2321292110282,10010071,CHEMBL580
83,agitation,605,838.0709685812617,10001497,CHEMBL580
84,delirium,489,834.380468521209,10012218,CHEMBL580
85,confusional state,722,706.4124720643449,10010305,CHEMBL580
86,pneumonia aspiration,320,643.495401932887,10035669,CHEMBL580
87,bradyphrenia,234,609.2529663643218,10050012,CHEMBL580
88,sedation,326,581.2367572704388,10039897,CHEMBL580
89,toxicity to various agents,615,566.9677820990764,10070863,CHEMBL580
90,fall,884,538.389324514821,10016173,CHEMBL580
91,drug dependence,300,476.07173520716606,10013676,CHEMBL580
92,catatonia,180,442.5299789648707,10007776,CHEMBL580
93,neuroleptic malignant syndrome,225,399.7655193749961,10029282,CHEMBL580
94,tachycardia,456,378.147857364369,10043071,CHEMBL580
95,depressed level of consciousness,313,369.4580441391736,10012373,CHEMBL580
96,respiratory depression,185,349.0213818357006,10038678,CHEMBL580
97,drug withdrawal syndrome,275,314.3089853589918,10013754,CHEMBL580
98,dysarthria,272,312.9387212385336,10013887,CHEMBL580
99,loss of consciousness,435,305.9883579402667,10024855,CHEMBL580
100,aggression,264,281.275781266595,10001488,CHEMBL580
101,disorientation,244,270.23642992039095,10013395,CHEMBL580
102,speech disorder,228,258.6071712927078,10041466,CHEMBL580
103,bradykinesia,106,243.98592056649795,10006100,CHEMBL580
104,anxiety,451,223.36931219580583,10002855,CHEMBL580
105,hypotension,535,214.65383102282067,10021097,CHEMBL580
106,withdrawal syndrome,178,208.23364739624958,10048010,CHEMBL580
107,unresponsive to stimuli,165,199.65979612679803,10045555,CHEMBL580
108,miosis,124,198.90327537710255,10027646,CHEMBL580
109,mydriasis,126,188.59055840133806,10028521,CHEMBL580
110,gastrooesophageal reflux disease,228,183.89781065947318,10017885,CHEMBL580
111,psychotic disorder,198,182.35388047735614,10061920,CHEMBL580
112,poisoning,98,181.83789209624229,10061355,CHEMBL580
113,restlessness,166,174.07202149198565,10038743,CHEMBL580
114,drug interaction,466,170.91802064118383,10013710,CHEMBL580
115,hypokinesia,106,158.72922602450126,10021021,CHEMBL580
116,hypothermia,113,158.24784936713695,10021113,CHEMBL580
117,status epilepticus,118,158.14409773358784,10041962,CHEMBL580
118,coma,11,30.690068091923195,10010071,CHEMBL1113
119,toxicity to various agents,13,26.668350608929813,10070863,CHEMBL1113
120,hypoxia,9,25.588426699997285,10021143,CHEMBL1113
121,somnolence,11,18.799403644627773,10041349,CHEMBL1113
122,clonic convulsion,3,15.681513830771223,10053398,CHEMBL1113
123,shock,5,13.985254033329511,10040560,CHEMBL1113
124,suicide attempt,7,13.463586300280667,10042464,CHEMBL1113
125,acute respiratory distress syndrome,4,12.13328704285334,10001052,CHEMBL1113
126,tachypnoea,4,11.501168250149703,10043089,CHEMBL1113
127,circulatory collapse,4,11.463984548575468,10009192,CHEMBL1113
128,neuroleptic malignant syndrome,4,11.084519943346208,10029282,CHEMBL1113
129,alanine aminotransferase increased,6,9.869950817074937,10001551,CHEMBL1113
130,hyperglycaemic hyperosmolar nonketotic syndrome,2,9.531796143814177,10063554,CHEMBL1113
131,cardiovascular insufficiency,2,9.306254464410358,10065929,CHEMBL1113
132,ventricular fibrillation,3,8.723302950782227,10047290,CHEMBL1113
133,parkinsonism,3,8.656427756800895,10034010,CHEMBL1113
134,supraventricular tachycardia,3,8.597019608976211,10042604,CHEMBL1113
135,erythema multiforme,3,8.024141450401544,10015218,CHEMBL1113
136,aspartate aminotransferase increased,5,7.90983677263398,10003481,CHEMBL1113
137,acute febrile neutrophilic dermatosis,2,7.590193159262526,10000748,CHEMBL1113
138,blood caffeine increased,1,7.449380133207001,10005384,CHEMBL1113
139,sinus tachycardia,3,7.19860706005727,10040752,CHEMBL1113
140,blood lactate dehydrogenase increased,3,7.040748800858751,10005630,CHEMBL1113
141,electrocardiogram qt prolonged,4,6.995592791201943,10014387,CHEMBL1113
142,ventouse extraction,1,6.7956500664552095,10047268,CHEMBL1113
143,coma scale abnormal,2,6.733337144308052,10069709,CHEMBL1113
144,vaginitis gardnerella,1,6.647295528327618,10046957,CHEMBL1113
145,right atrial hypertrophy,1,6.647295528327618,10057501,CHEMBL1113
146,altered state of consciousness,3,6.482985129885492,10001854,CHEMBL1113
147,rhabdomyolysis,4,6.454227381518763,10039020,CHEMBL1113
148,blood cholinesterase increased,1,6.40380437981014,10005431,CHEMBL1113
149,pneumonia aspiration,183,651.479150624169,10035669,CHEMBL445
150,temperature regulation disorder,116,647.6835672986763,10061376,CHEMBL445
151,drug hypersensitivity,333,565.09964874057,10013700,CHEMBL445
152,food allergy,115,533.81408876567,10016946,CHEMBL445
153,coeliac disease,118,516.7648128253568,10009839,CHEMBL445
154,coma,187,498.91643770717747,10010071,CHEMBL445
155,immunodeficiency,116,487.9957795650298,10061598,CHEMBL445
156,gastrooesophageal reflux disease,187,484.3752895749858,10017885,CHEMBL445
157,bursitis,118,456.91609528175104,10006811,CHEMBL445
158,somnolence,237,433.6593549429399,10041349,CHEMBL445
159,hyperhidrosis,162,301.17112495277433,10020642,CHEMBL445
160,rash erythematous,118,297.9626486164598,10037855,CHEMBL445
161,fluid retention,116,282.29519959967,10016807,CHEMBL445
162,upper respiratory tract infection,116,263.28724073195554,10046306,CHEMBL445
163,hepatic enzyme increased,126,252.43359960896305,10060795,CHEMBL445
164,asthma,121,231.65645917203256,10003553,CHEMBL445
165,rheumatoid arthritis,134,220.44597740513382,10039073,CHEMBL445
166,hypersensitivity,150,216.6699299170141,10020751,CHEMBL445
167,constipation,129,156.50304428161508,10010774,CHEMBL445
168,brugada syndrome,35,155.84737987258632,10059027,CHEMBL445
169,erythema,120,154.32371679499374,10015150,CHEMBL445
170,sedation,65,146.49319432867924,10039897,CHEMBL445
171,back pain,126,143.623071791877,10003988,CHEMBL445
172,presbyacusis,26,132.75844088198028,10036626,CHEMBL445
173,suicidal ideation,86,127.96497231147077,10042458,CHEMBL445
174,pleural thickening,26,126.11645471781958,10035616,CHEMBL445
175,pain,169,123.51515541665503,10033371,CHEMBL445
176,blood magnesium increased,26,113.83295228323914,10005655,CHEMBL445
177,pleural fibrosis,26,110.19366271992476,10035600,CHEMBL445
178,toxicity to various agents,91,98.86423284735974,10070863,CHEMBL445
179,electrocardiogram qrs complex prolonged,31,89.10874421437256,10014380,CHEMBL445
180,fatigue,183,87.7311035603434,10016256,CHEMBL445
181,epigastric discomfort,26,85.93468021061199,10053155,CHEMBL445
182,deafness neurosensory,28,85.28177614224478,10011891,CHEMBL445
183,treatment failure,67,83.5173169927566,10066901,CHEMBL445
184,neovascularisation,15,78.59987691316564,10029113,CHEMBL445
185,bone cyst,19,77.11793631485307,10005952,CHEMBL445
186,femoral neck fracture,28,76.73709248386513,10016450,CHEMBL445
187,delirium,49,74.44882552574381,10012218,CHEMBL445
188,sleep disorder,50,73.19354306232526,10040984,CHEMBL445
