,Protein,ENSG,UniProt,Source,Score,disease_id
0,DRD2,ENSG00000149295,P14416,uniprot_swissprot,0.7103106763483342,EFO_0003761
1,GRIN2A,ENSG00000183454,Q12879,uniprot_swissprot,0.6533918001785217,EFO_0003761
2,SLC6A4,ENSG00000108576,P31645,uniprot_swissprot,0.6311933370805461,EFO_0003761
3,SLC6A3,ENSG00000142319,Q01959,uniprot_swissprot,0.6171025548184452,EFO_0003761
4,SLC6A2,ENSG00000103546,P23975,uniprot_swissprot,0.614780934296481,EFO_0003761
5,HTR2A,ENSG00000102468,P28223,uniprot_swissprot,0.6138916250806826,EFO_0003761
6,GABRA1,ENSG00000022355,P14867,uniprot_swissprot,0.6097491227802967,EFO_0003761
7,HTR2C,ENSG00000147246,P28335,uniprot_swissprot,0.6086971804993031,EFO_0003761
8,GABRG3,ENSG00000182256,Q99928,uniprot_swissprot,0.6083631983252291,EFO_0003761
9,GABRA2,ENSG00000151834,P47869,uniprot_swissprot,0.6081784083978868,EFO_0003761
10,GABRA5,ENSG00000186297,P31644,uniprot_swissprot,0.6065152990518056,EFO_0003761
11,ADRA2A,ENSG00000150594,P08913,uniprot_swissprot,0.6061457234449036,EFO_0003761
12,GABRA3,ENSG00000011677,P34903,uniprot_swissprot,0.6055913494150938,EFO_0003761
13,GABRG2,ENSG00000113327,P18507,uniprot_swissprot,0.6050369796330668,EFO_0003761
14,HTR1A,ENSG00000178394,P08908,uniprot_swissprot,0.604962384382253,EFO_0003761
15,GABRG1,ENSG00000163285,Q8N1C3,uniprot_swissprot,0.6046673997783821,EFO_0003761
16,ADRA2C,ENSG00000184160,P18825,uniprot_swissprot,0.6045858911359927,EFO_0003761
17,ADRA2B,ENSG00000274286,P18089,uniprot_swissprot,0.603661941499281,EFO_0003761
18,GRIN2B,ENSG00000273079,Q13224,uniprot_swissprot,0.5983153611737781,EFO_0003761
19,SCN1A,ENSG00000144285,P35498,uniprot_swissprot,0.5981792309660805,EFO_0003761
20,SCN4A,ENSG00000007314,P35499,uniprot_swissprot,0.5978096511113958,EFO_0003761
21,SCN10A,ENSG00000185313,Q9Y5Y9,uniprot_swissprot,0.5978096511113958,EFO_0003761
22,SCN3A,ENSG00000153253,Q9NY46,uniprot_swissprot,0.5978096511113958,EFO_0003761
23,SCN9A,ENSG00000169432,Q15858,uniprot_swissprot,0.5978096511113958,EFO_0003761
24,SCN11A,ENSG00000168356,Q9UI33,uniprot_swissprot,0.5978096511113958,EFO_0003761
25,SCN2A,ENSG00000136531,Q99250,uniprot_swissprot,0.5978096511113958,EFO_0003761
26,SCN8A,ENSG00000196876,Q9UQD0,uniprot_swissprot,0.5978096511113958,EFO_0003761
27,SCN7A,ENSG00000136546,Q01118,uniprot_swissprot,0.5978096511113958,EFO_0003761
28,SCN5A,ENSG00000183873,Q14524,uniprot_swissprot,0.5978096511113958,EFO_0003761
29,DRD3,ENSG00000151577,P35462,uniprot_swissprot,0.5956030651324123,EFO_0003761
30,DRD4,ENSG00000069696,P21917,uniprot_swissprot,0.5935147226881758,EFO_0003761
31,GRIN2C,ENSG00000161509,Q14957,uniprot_swissprot,0.5916401945667072,EFO_0003761
32,GRIN3A,ENSG00000198785,Q8TCU5,uniprot_swissprot,0.5913168121938581,EFO_0003761
33,GRIN1,ENSG00000176884,Q05586,uniprot_swissprot,0.5900232827024617,EFO_0003761
