,name,count,logLR,meddraCode,chembl_id
0,therapeutic response unexpected,8,32.35630730675649,10043417,CHEMBL2111101
1,orthostatic hypotension,92,231.39918137778113,10031127,CHEMBL887
2,impulse-control disorder,44,190.035836907482,10061215,CHEMBL887
3,dyskinesia,78,171.47367028217195,10013916,CHEMBL887
4,serotonin syndrome,70,162.7023229580518,10040108,CHEMBL887
5,hallucination,89,146.34641425180962,10062824,CHEMBL887
6,hypersexuality,32,127.08779368881733,10066364,CHEMBL887
7,"hallucination, visual",56,121.93110464597885,,CHEMBL887
8,sudden onset of sleep,26,107.84150565381242,10050014,CHEMBL887
9,parkinson's disease,39,103.9435393156582,10061536,CHEMBL887
10,on and off phenomenon,22,93.43122488397239,10030312,CHEMBL887
11,compulsive shopping,18,73.46457886101962,10067948,CHEMBL887
12,fall,118,73.32416883176484,10016173,CHEMBL887
13,fracture,37,72.85878581037832,10017076,CHEMBL887
14,gambling disorder,17,65.9197211008377,10078070,CHEMBL887
15,pathological gambling,16,60.312616367213195,10034158,CHEMBL887
16,akinesia,17,56.89301633888681,10001541,CHEMBL887
17,confusional state,71,52.64924797896492,10010305,CHEMBL887
18,muscle rigidity,26,50.7256384826469,10028330,CHEMBL887
19,delirium,38,46.27606666414249,10012218,CHEMBL887
20,pleurothotonus,14,45.87267930438429,10035628,CHEMBL887
21,dopamine dysregulation syndrome,11,44.84544660036772,10067468,CHEMBL887
22,oesophageal achalasia,10,41.11769896198166,10030136,CHEMBL887
23,altered state of consciousness,28,39.58652383815752,10001854,CHEMBL887
24,paraphilia,8,38.940077862585895,10033888,CHEMBL887
25,psychotic disorder,32,35.241707203083934,10061920,CHEMBL887
26,delusion,21,33.85936613216836,10012239,CHEMBL887
27,jealous delusion,8,33.78199816280903,10023164,CHEMBL887
28,neuroleptic malignant syndrome,22,33.14784018368118,10029282,CHEMBL887
29,stereotypy,9,30.526298575550754,10042008,CHEMBL887
30,autonomic neuropathy,9,29.21495190186397,10061666,CHEMBL887
31,drug interaction,67,28.799751208136513,10013710,CHEMBL887
32,colitis microscopic,13,28.485696238923992,10056979,CHEMBL887
33,fatigue,16,26.32415217930611,10016256,CHEMBL887
34,hypertensive crisis,18,25.99272132328224,10020802,CHEMBL887
35,bradykinesia,12,25.914056129695382,10006100,CHEMBL887
36,coronary artery dissection,8,25.65377126410749,10048631,CHEMBL887
37,thunderclap headache,6,25.2711198079287,10075481,CHEMBL887
38,tremor,48,23.107502677547018,10044565,CHEMBL887
39,parkinsonism,15,22.93175556521419,10034010,CHEMBL887
40,abnormal behaviour,24,22.909261012860952,10061422,CHEMBL887
41,parkinson's disease psychosis,5,22.624658124535927,10074835,CHEMBL887
42,dystonia,17,22.136947634686294,10013983,CHEMBL887
43,blood pressure fluctuation,18,22.040676051487026,10005746,CHEMBL887
44,cognitive disorder,24,21.763226700013547,10057668,CHEMBL887
45,condition aggravated,66,21.620568521060704,10010264,CHEMBL887
46,hyperthermia,14,21.5021972518025,10020843,CHEMBL887
47,physical deconditioning,7,21.44875783473981,10051588,CHEMBL887
48,freezing phenomenon,7,21.187157242342437,10060904,CHEMBL887
49,obsessive-compulsive disorder,11,21.125556419194254,10029898,CHEMBL887
50,syncope,41,21.079467246625427,10042772,CHEMBL887
51,autonomic nervous system imbalance,9,20.881185236554302,10003840,CHEMBL887
52,hyperpyrexia,10,20.28649224989931,10020741,CHEMBL887
53,parkinsonian gait,6,20.187650851794388,10056242,CHEMBL887
54,pneumonia aspiration,17,19.99643735173413,10035669,CHEMBL887
55,loss of consciousness,42,19.83264012019208,10024855,CHEMBL887
56,sudden onset of sleep,97,486.3450278685923,10050014,CHEMBL1200411
57,impulse-control disorder,100,468.65049429359715,10061215,CHEMBL1200411
58,hypersexuality,99,460.2418890160079,10066364,CHEMBL1200411
59,parkinson's disease,129,438.95664690328704,10061536,CHEMBL1200411
60,pathological gambling,87,435.9334747376997,10034158,CHEMBL1200411
61,hallucination,207,417.8121973123307,10062824,CHEMBL1200411
62,"hallucination, visual",146,390.0382483052199,,CHEMBL1200411
63,dopamine dysregulation syndrome,66,357.41736711026897,10067468,CHEMBL1200411
64,compulsive shopping,66,325.1434230857958,10067948,CHEMBL1200411
65,dyskinesia,135,308.83020435800427,10013916,CHEMBL1200411
66,somnolence,190,211.56326045599053,10041349,CHEMBL1200411
67,restless legs syndrome,74,178.175535991777,10058920,CHEMBL1200411
68,on and off phenomenon,39,170.11058085148034,10030312,CHEMBL1200411
69,psychotic disorder,92,151.2009883222272,10061920,CHEMBL1200411
70,gambling,32,148.90108470361884,10017655,CHEMBL1200411
71,stereotypy,34,144.82545927093452,10042008,CHEMBL1200411
72,obsessive-compulsive disorder,49,143.3582243448036,10029898,CHEMBL1200411
73,jealous delusion,28,140.49358166287493,10023164,CHEMBL1200411
74,gambling disorder,31,124.63088306706777,10078070,CHEMBL1200411
75,abnormal behaviour,70,104.72335181633025,10061422,CHEMBL1200411
76,confusional state,125,103.63555752619868,10010305,CHEMBL1200411
77,delusion,50,99.91859740141808,10012239,CHEMBL1200411
78,paranoia,50,97.99329134636719,10033864,CHEMBL1200411
79,parkinsonism hyperpyrexia syndrome,16,84.7975107673301,10071243,CHEMBL1200411
80,dropped head syndrome,18,83.81367571462397,10072442,CHEMBL1200411
81,muscle rigidity,41,79.89935241749117,10028330,CHEMBL1200411
82,sleep attacks,17,76.28744806983377,10040981,CHEMBL1200411
83,libido increased,22,72.18319371058533,10024421,CHEMBL1200411
84,bradykinesia,28,71.01745868408034,10006100,CHEMBL1200411
85,agitation,75,69.63812587266148,10001497,CHEMBL1200411
86,insomnia,114,68.17384003900952,10022437,CHEMBL1200411
87,orthostatic hypotension,47,67.34209902004295,10031127,CHEMBL1200411
88,serotonin syndrome,44,63.67765668755965,10040108,CHEMBL1200411
89,freezing phenomenon,18,63.13838052196661,10060904,CHEMBL1200411
90,drug withdrawal syndrome,56,62.89499332397463,10013754,CHEMBL1200411
91,compulsions,15,60.81097793089066,10010219,CHEMBL1200411
92,parkinson's disease psychosis,12,59.30395247389606,10074835,CHEMBL1200411
93,aggression,55,58.803642777402274,10001488,CHEMBL1200411
94,binge eating,15,57.4218637316153,10004716,CHEMBL1200411
95,type 2 diabetes mellitus,32,56.3243145599663,10067585,CHEMBL1200411
96,delirium,48,49.08429613787666,10012218,CHEMBL1200411
97,syncope,75,46.61259414378583,10042772,CHEMBL1200411
98,movement disorder,31,45.494704571661714,10028035,CHEMBL1200411
99,dependence,19,45.49299467972742,10012335,CHEMBL1200411
100,hyperkinesia,14,45.29616367377821,10020651,CHEMBL1200411
101,camptocormia,11,44.92286593771496,10069646,CHEMBL1200411
102,impulsive behaviour,18,43.64007136033615,10021567,CHEMBL1200411
103,tremor,80,41.51852339315883,10044565,CHEMBL1200411
104,illusion,14,40.58114324030248,10021403,CHEMBL1200411
105,acute psychosis,17,39.45674791638885,10001022,CHEMBL1200411
106,condition aggravated,108,37.726297656867246,10010264,CHEMBL1200411
107,"hallucination, auditory",27,37.02121783747498,,CHEMBL1200411
108,fall,119,36.74710780958776,10016173,CHEMBL1200411
109,anxiety,85,36.42127778644499,10002855,CHEMBL1200411
110,loss of consciousness,70,35.66440246588536,10024855,CHEMBL1200411
111,eczema eyelids,8,34.280301574508485,10014194,CHEMBL1200411
112,irritability,43,33.089346559983824,10022998,CHEMBL1200411
113,drug abuse,47,32.82803674250681,10013654,CHEMBL1200411
114,posture abnormal,14,32.63601070409277,10036436,CHEMBL1200411
115,psychomotor hyperactivity,25,32.329830718092126,10037211,CHEMBL1200411
116,bradycardia,502,938.1507016517062,10006093,CHEMBL502
117,syncope,341,428.3946870887812,10042772,CHEMBL502
118,electrocardiogram qt prolonged,231,364.6551537269479,10014387,CHEMBL502
119,pleurothotonus,85,328.15125580564927,10035628,CHEMBL502
120,sinus bradycardia,134,297.46535192649753,10040741,CHEMBL502
121,delirium,185,286.8974980744679,10012218,CHEMBL502
122,fall,419,276.86901454875624,10016173,CHEMBL502
123,confusional state,289,258.6845629137533,10010305,CHEMBL502
124,drug interaction,296,184.9124197221463,10013710,CHEMBL502
125,agitation,179,183.08245854072447,10001497,CHEMBL502
126,cholinergic syndrome,44,172.82553007431125,10008674,CHEMBL502
127,aggression,135,160.73330205059028,10001488,CHEMBL502
128,dementia alzheimer's type,59,154.36624056282744,10012271,CHEMBL502
129,neuroleptic malignant syndrome,91,154.23129905512178,10029282,CHEMBL502
130,torsade de pointes,82,149.01976398162515,10044066,CHEMBL502
131,atrioventricular block first degree,63,147.92091763082135,10003674,CHEMBL502
132,mania,86,144.7116956940372,10026749,CHEMBL502
133,dementia,85,141.11694001227443,10012267,CHEMBL502
134,parkinsonism,71,130.8867991400184,10034010,CHEMBL502
135,depressed level of consciousness,121,128.43448680074653,10012373,CHEMBL502
136,cognitive disorder,109,126.4452820491424,10057668,CHEMBL502
137,delusion,74,122.25793603965576,10012239,CHEMBL502
138,sick sinus syndrome,39,114.9991454830888,10040639,CHEMBL502
139,hallucination,126,109.45174880420382,10062824,CHEMBL502
140,myoclonus,66,95.94013534847181,10028622,CHEMBL502
141,loss of consciousness,165,95.88869993208937,10024855,CHEMBL502
142,abnormal behaviour,91,95.82979128231818,10061422,CHEMBL502
143,circulatory collapse,64,92.96127650514245,10009192,CHEMBL502
144,atrioventricular block complete,52,88.61906964237278,10003673,CHEMBL502
145,somnolence,178,80.6116114270335,10041349,CHEMBL502
146,extrapyramidal disorder,62,78.91029530668311,10015832,CHEMBL502
147,atrioventricular block,46,74.75710996679845,10003671,CHEMBL502
148,rhabdomyolysis,101,74.27254461407574,10039020,CHEMBL502
149,torticollis,29,71.41241536367306,10044074,CHEMBL502
150,urinary incontinence,64,71.35458988424216,10046543,CHEMBL502
151,"hallucination, visual",62,70.79448489007336,,CHEMBL502
152,bradyarrhythmia,28,68.97118471491558,10049765,CHEMBL502
153,sinus node dysfunction,28,67.50751676069194,10075889,CHEMBL502
154,hypokalaemia,95,67.38415440734389,10021015,CHEMBL502
155,restlessness,68,66.77625654704752,10038743,CHEMBL502
156,nightmare,64,65.28920871108858,10029412,CHEMBL502
157,decreased appetite,165,64.8187805599373,10061428,CHEMBL502
158,electrocardiogram pr prolongation,21,62.022417977437726,10053657,CHEMBL502
159,hyponatraemia,145,485.59660217245346,10021036,CHEMBL1429
160,hyponatraemic encephalopathy,17,110.13794356575181,10066151,CHEMBL1429
161,osmotic demyelination syndrome,13,66.53156505218476,10069350,CHEMBL1429
162,patent ductus arteriosus,16,58.080889212053535,10034130,CHEMBL1429
163,premature baby,24,50.81922225747212,10036590,CHEMBL1429
