,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
0,DRD4,dopamine receptor D4,APOMORPHINE HYDROCHLORIDE,Small molecule,CHEMBL5314363,4.0,[],MONDO_0005180,Parkinson disease
1,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
2,CHRM3,cholinergic receptor muscarinic 3,ATROPINE,Small molecule,CHEMBL517712,4.0,[],MONDO_0005180,Parkinson disease
3,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,MEMANTINE,Small molecule,CHEMBL807,4.0,"['NCT00646204', 'NCT01108029']",MONDO_0005180,Parkinson disease
4,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
5,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
6,DDC,dopa decarboxylase,CARBIDOPA ANHYDROUS,Small molecule,CHEMBL1201236,4.0,"['NCT00174239', 'NCT00642356']",MONDO_0005180,Parkinson disease
7,DRD3,dopamine receptor D3,BROMOCRIPTINE MESYLATE,Small molecule,CHEMBL1200503,4.0,[],MONDO_0005180,Parkinson disease
8,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,"['NCT04387773', 'NCT00632762']",MONDO_0005180,Parkinson disease
9,SNAP25,synaptosome associated protein 25,ONABOTULINUMTOXINA,Unknown,CHEMBL1201574,4.0,['NCT00477802'],MONDO_0005180,Parkinson disease
10,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
11,SCN3A,sodium voltage-gated channel alpha subunit 3,ORPHENADRINE,Small molecule,CHEMBL900,4.0,[],MONDO_0005180,Parkinson disease
12,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
13,CACNA1B,calcium voltage-gated channel subunit alpha1 B,LEVETIRACETAM,Small molecule,CHEMBL1286,4.0,['NCT00584025'],MONDO_0005180,Parkinson disease
14,ADRA1A,adrenoceptor alpha 1A,DROXIDOPA,Small molecule,CHEMBL2103827,4.0,['NCT03115827'],MONDO_0005180,Parkinson disease
15,SCN1A,sodium voltage-gated channel alpha subunit 1,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
16,SLC6A2,solute carrier family 6 member 2,METHYLPHENIDATE,Small molecule,CHEMBL796,4.0,['NCT01244269'],MONDO_0005180,Parkinson disease
17,DRD4,dopamine receptor D4,PERGOLIDE,Small molecule,CHEMBL531,4.0,[],MONDO_0005180,Parkinson disease
18,SCN10A,sodium voltage-gated channel alpha subunit 10,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
19,DDC,dopa decarboxylase,CARBIDOPA,Small molecule,CHEMBL1200748,4.0,"['NCT04952194', 'NCT06013956', 'NCT06236230']",MONDO_0005180,Parkinson disease
20,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
21,ADRA2A,adrenoceptor alpha 2A,DROXIDOPA,Small molecule,CHEMBL2103827,4.0,['NCT03115827'],MONDO_0005180,Parkinson disease
22,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,[],MONDO_0005180,Parkinson disease
23,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit,VARENICLINE,Small molecule,CHEMBL1076903,4.0,['NCT02473562'],MONDO_0005180,Parkinson disease
24,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE,Small molecule,CHEMBL660,4.0,[],MONDO_0005180,Parkinson disease
25,GABRD,gamma-aminobutyric acid type A receptor subunit delta,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT02256319'],MONDO_0005180,Parkinson disease
26,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,ORPHENADRINE HYDROCHLORIDE,Small molecule,CHEMBL1201023,4.0,[],MONDO_0005180,Parkinson disease
27,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,AMANTADINE HYDROCHLORIDE,Small molecule,CHEMBL1569,4.0,"['NCT04387773', 'NCT00632762']",MONDO_0005180,Parkinson disease
28,SCN9A,sodium voltage-gated channel alpha subunit 9,ZONISAMIDE,Small molecule,CHEMBL750,4.0,['NCT03034538'],MONDO_0005180,Parkinson disease
