,Protein,ENSG,UniProt,Source,Score,disease_id
0,LRRK2,ENSG00000188906,Q5S007,uniprot_swissprot,0.8810801197584561,MONDO_0005180
1,PRKN,ENSG00000185345,O60260,uniprot_swissprot,0.8584810262502999,MONDO_0005180
2,ATP13A2,ENSG00000159363,Q9NQ11,uniprot_swissprot,0.8504101269892572,MONDO_0005180
3,PINK1,ENSG00000158828,Q9BXM7,uniprot_swissprot,0.8472867541229682,MONDO_0005180
4,SNCA,ENSG00000145335,P37840,uniprot_swissprot,0.8410609346859602,MONDO_0005180
5,PARK7,ENSG00000116288,Q99497,uniprot_swissprot,0.8128531608420919,MONDO_0005180
6,DNAJC6,ENSG00000116675,O75061,uniprot_swissprot,0.8006823281187743,MONDO_0005180
7,FBXO7,ENSG00000100225,Q9Y3I1,uniprot_swissprot,0.7893973147065396,MONDO_0005180
8,PLA2G6,ENSG00000184381,O60733,uniprot_swissprot,0.7717030204932328,MONDO_0005180
9,VPS35,ENSG00000069329,Q96QK1,uniprot_swissprot,0.7593274269842581,MONDO_0005180
10,GBA1,ENSG00000177628,P04062,uniprot_swissprot,0.756225021747937,MONDO_0005180
11,GIGYF2,ENSG00000204120,Q6Y7W6,uniprot_swissprot,0.7498537691797666,MONDO_0005180
12,VPS13C,ENSG00000129003,Q709C8,uniprot_swissprot,0.698220203639707,MONDO_0005180
13,GRIN1,ENSG00000176884,Q05586,uniprot_swissprot,0.6938784416080782,MONDO_0005180
14,CHRM1,ENSG00000168539,P11229,uniprot_swissprot,0.6660492549058603,MONDO_0005180
15,MAPT,ENSG00000186868,P10636,uniprot_swissprot,0.6622605095486499,MONDO_0005180
16,PSAP,ENSG00000197746,P07602,uniprot_swissprot,0.6394890650279293,MONDO_0005180
17,UCHL1,ENSG00000154277,P09936,uniprot_swissprot,0.6388037232960774,MONDO_0005180
18,ADRA2B,ENSG00000274286,P18089,uniprot_swissprot,0.6354927226536258,MONDO_0005180
19,DRD2,ENSG00000149295,P14416,uniprot_swissprot,0.6309239170692598,MONDO_0005180
20,EIF4G1,ENSG00000114867,Q04637,uniprot_swissprot,0.6249519207657771,MONDO_0005180
21,DDC,ENSG00000132437,P20711,uniprot_swissprot,0.6217677111779684,MONDO_0005180
22,DRD3,ENSG00000151577,P35462,uniprot_swissprot,0.6115018698114338,MONDO_0005180
23,MAOB,ENSG00000069535,P27338,uniprot_swissprot,0.6104390993229996,MONDO_0005180
24,GRIN2A,ENSG00000183454,Q12879,uniprot_swissprot,0.6098444317245469,MONDO_0005180
25,DRD4,ENSG00000069696,P21917,uniprot_swissprot,0.6089074355855197,MONDO_0005180
26,GRIN2B,ENSG00000273079,Q13224,uniprot_swissprot,0.6085880518933106,MONDO_0005180
27,ATM,ENSG00000149311,Q13315,uniprot_swissprot,0.608508078880864,MONDO_0005180
28,GRIN2D,ENSG00000105464,O15399,uniprot_swissprot,0.6081671850280019,MONDO_0005180
29,ACHE,ENSG00000087085,P22303,uniprot_swissprot,0.6070145795273503,MONDO_0005180
30,GRIN2C,ENSG00000161509,Q14957,uniprot_swissprot,0.6069400259188427,MONDO_0005180
31,COMT,ENSG00000093010,P21964,uniprot_swissprot,0.6068831568155274,MONDO_0005180
32,GRIN3A,ENSG00000198785,Q8TCU5,uniprot_swissprot,0.604589087398765,MONDO_0005180
33,GRIN3B,ENSG00000116032,O60391,uniprot_swissprot,0.604589087398765,MONDO_0005180
34,SCN2A,ENSG00000136531,Q99250,uniprot_swissprot,0.5909568556339774,MONDO_0005180
35,DRD1,ENSG00000184845,P21728,uniprot_swissprot,0.5877399268262614,MONDO_0005180
36,BCHE,ENSG00000114200,P06276,uniprot_swissprot,0.5827886102551132,MONDO_0005180
37,HTR2A,ENSG00000102468,P28223,uniprot_swissprot,0.5799112282398993,MONDO_0005180
38,BRCA2,ENSG00000139618,P51587,uniprot_swissprot,0.5778410736958878,MONDO_0005180
39,ADORA2A,ENSG00000128271,P29274,uniprot_swissprot,0.5732323916817492,MONDO_0005180
40,CHCHD2,ENSG00000106153,Q9Y6H1,uniprot_swissprot,0.5715343443888943,MONDO_0005180
