,name,count,logLR,meddraCode,chembl_id
0,interstitial lung disease,35,83.29797378827061,10022611,CHEMBL744
1,pancreatitis acute,18,39.734932429415494,10033647,CHEMBL744
2,portal vein thrombosis,7,24.091344259567904,10036206,CHEMBL744
3,amyotrophic lateral sclerosis,6,23.691495247767307,10002026,CHEMBL744
4,lymphocyte stimulation test positive,5,20.391078114577795,10060760,CHEMBL744
5,pulmonary toxicity,7,19.86404285111621,10061924,CHEMBL744
6,excessive granulation tissue,4,16.899965916217297,10063560,CHEMBL744
7,pancreatitis relapsing,4,16.601339636528337,10033657,CHEMBL744
8,progressive bulbar palsy,2,14.263073719714157,10036800,CHEMBL744
9,traumatic lung injury,4,14.21654593130279,10069363,CHEMBL744
10,motor neurone disease,3,13.601639719845934,10028003,CHEMBL744
11,lung consolidation,4,12.159675236816383,10025080,CHEMBL744
12,rash morbilliform,4,10.802023369231392,10037870,CHEMBL744
13,atelectasis,5,10.241123099293873,10003598,CHEMBL744
14,blood lactate dehydrogenase increased,6,9.493086935819065,10005630,CHEMBL744
15,emphysema,4,9.372512675366579,10014561,CHEMBL744
16,aspartate aminotransferase increased,10,8.684156581843126,10003481,CHEMBL744
17,sulphaemoglobin increased,1,8.516237749008724,10042487,CHEMBL744
18,alanine aminotransferase increased,10,7.719173907154982,10001551,CHEMBL744
19,disease progression,10,7.4003775191722525,10061818,CHEMBL744
20,cervical spinal cord paralysis,1,7.130164039885585,10057276,CHEMBL744
21,respiratory disorder,5,6.898072062391748,10038683,CHEMBL744
22,paraesthesia oral,4,6.836969006376421,10057372,CHEMBL744
23,adjacent segment degeneration,1,6.72484603318253,10076362,CHEMBL744
24,anorectal varices haemorrhage,1,6.72484603318253,10068925,CHEMBL744
25,psychological factor affecting medical condition,1,6.437311062195931,10037207,CHEMBL744
26,body tinea,9,57.42585998463005,10005913,CHEMBL558
27,ventricular tachycardia,16,52.1546921579361,10047302,CHEMBL558
28,treatment failure,21,48.19645271154627,10066901,CHEMBL558
29,infection susceptibility increased,9,46.31507556973247,10021866,CHEMBL558
30,inhibitory drug interaction,9,45.87112627857937,10068071,CHEMBL558
31,impaired quality of life,9,42.24142769092714,10076936,CHEMBL558
32,therapy non-responder,16,41.00004255587237,10051082,CHEMBL558
33,glucose tolerance impaired,9,39.12804053647369,10018429,CHEMBL558
34,immune thrombocytopenia,8,37.49859240122305,10083842,CHEMBL558
35,bone density decreased,9,34.07372115623957,10049470,CHEMBL558
36,purpura,10,34.0084837718814,10037549,CHEMBL558
37,drug reaction with eosinophilia and systemic symptoms,13,32.60859617181791,10073508,CHEMBL558
38,impaired work ability,9,30.15403120740507,10052302,CHEMBL558
39,oral herpes,9,29.4530386443505,10067152,CHEMBL558
40,poor quality sleep,9,28.81461246873596,10062519,CHEMBL558
41,weight increased,18,28.605026429252575,10047899,CHEMBL558
42,hyperlipidaemia,9,26.928997678661972,10062060,CHEMBL558
43,low birth weight baby,8,26.055980106431207,10067508,CHEMBL558
44,premature baby,11,25.33303147465267,10036590,CHEMBL558
45,skin disorder,9,23.82695348871539,10040831,CHEMBL558
46,human herpesvirus 6 infection,5,20.834053325353125,10020431,CHEMBL558
47,cataract,9,19.392856038941545,10007739,CHEMBL558
48,cellulitis,9,15.746792342355548,10007882,CHEMBL558
49,herpes zoster,9,15.41276831804771,10019974,CHEMBL558
50,long qt syndrome,4,14.774636495339337,10024803,CHEMBL558
51,contusion,9,14.519888792168558,10050584,CHEMBL558
52,ventricular arrhythmia,4,14.255945892482941,10047281,CHEMBL558
53,symptom masked,3,13.974399548508018,10042750,CHEMBL558
54,fulminant type 1 diabetes mellitus,3,13.782069102638616,10072628,CHEMBL558
55,cardiogenic shock,5,13.49433545745569,10007625,CHEMBL558
56,sinus bradycardia,5,12.28765655524603,10040741,CHEMBL558
57,myoclonus,5,11.781414015589462,10028622,CHEMBL558
58,premature labour,4,11.281713733642391,10036600,CHEMBL558
59,nodal rhythm,3,11.233621368330205,10029470,CHEMBL558
60,eosinophilia,5,10.0552391066376,10014950,CHEMBL558
61,autoimmune thyroiditis,3,10.022803986141298,10049046,CHEMBL558
62,torsade de pointes,4,9.231706822108436,10044066,CHEMBL558
63,insomnia,10,8.689343206084686,10022437,CHEMBL558
64,caesarean section,4,8.612612179798589,10006924,CHEMBL558
65,lymphadenopathy,5,8.111046836108244,10025197,CHEMBL558
66,ischaemic hepatitis,2,8.009443913533232,10023025,CHEMBL558
67,lymphocytic infiltration,2,7.655666386884832,10062049,CHEMBL558
68,device effect incomplete,1,7.51416133505586,10079634,CHEMBL558
69,neurotoxicity,4,7.3656428996646355,10029350,CHEMBL558
70,apgar score low,2,6.9850566526208695,10002944,CHEMBL558
71,circulatory failure neonatal,1,6.741204829071876,10009196,CHEMBL558
72,electrocardiogram t wave alternans,1,6.59817066613482,10079358,CHEMBL558
73,arrhythmic storm,1,6.59817066613482,10067339,CHEMBL558
74,electrocardiogram qt prolonged,5,6.507949758133918,10014387,CHEMBL558
75,hypertension,9,6.405463103810462,10020772,CHEMBL558
