,Protein,ENSG,UniProt,Source,Score
0,SOD1,ENSG00000142168,P00441,uniprot_swissprot,0.8715575826346109
1,TARDBP,ENSG00000120948,Q13148,uniprot_swissprot,0.8493435603677251
2,UBQLN2,ENSG00000188021,Q9UHD9,uniprot_swissprot,0.8338817157498329
3,FUS,ENSG00000089280,P35637,uniprot_swissprot,0.833310705190017
4,SQSTM1,ENSG00000161011,Q13501,uniprot_swissprot,0.8258081510934362
5,TBK1,ENSG00000183735,Q9UHD2,uniprot_swissprot,0.8085969591421883
6,DCTN1,ENSG00000204843,Q14203,uniprot_swissprot,0.7993378596657996
7,SETX,ENSG00000107290,Q7Z333,uniprot_swissprot,0.7939354621640317
8,OPTN,ENSG00000123240,Q96CV9,uniprot_swissprot,0.7865695135486609
9,VCP,ENSG00000165280,P55072,uniprot_swissprot,0.7790399729602022
10,PFN1,ENSG00000108518,P07737,uniprot_swissprot,0.7788449248089933
11,ALS2,ENSG00000003393,Q96Q42,uniprot_swissprot,0.7696156169971189
12,FIG4,ENSG00000112367,Q92562,uniprot_swissprot,0.7695635693661388
13,SIGMAR1,ENSG00000147955,Q99720,uniprot_swissprot,0.7214681147545497
14,CHMP2B,ENSG00000083937,Q9UQN3,uniprot_swissprot,0.7198789025088405
15,ERBB4,ENSG00000178568,Q15303,uniprot_swissprot,0.7177394991009534
16,PRPH,ENSG00000135406,P41219,uniprot_swissprot,0.6878093207865401
17,VAPB,ENSG00000124164,O95292,uniprot_swissprot,0.6857205891572196
18,ANG,ENSG00000214274,P03950,uniprot_swissprot,0.6788199685559009
19,C9orf72,ENSG00000147894,Q96LT7,uniprot_swissprot,0.6683617173307834
20,MATR3,ENSG00000015479,P43243,uniprot_swissprot,0.6662783194114408
21,SPG11,ENSG00000104133,Q96JI7,uniprot_swissprot,0.6647983821803595
22,HNRNPA1,ENSG00000135486,P09651,uniprot_swissprot,0.6551710155662264
23,ATXN2,ENSG00000204842,Q99700,uniprot_swissprot,0.6501356021774164
24,ANXA11,ENSG00000122359,P50995,uniprot_swissprot,0.6298019433428119
