,name,count,logLR,meddraCode,chembl_id
0,upper gastrointestinal haemorrhage,5,20.739538692525457,10046274,CHEMBL1201302
1,central nervous system leukaemia,2,15.004741190928598,10066231,CHEMBL1201302
2,serotonin syndrome,53,186.79685053185585,10040108,CHEMBL52440
3,drug abuse,45,109.15981809870937,10013654,CHEMBL52440
4,agitation,38,79.25859768665077,10001497,CHEMBL52440
5,toxicity to various agents,43,72.49255243727794,10070863,CHEMBL52440
6,conduction disorder,11,46.14068334065132,10010276,CHEMBL52440
7,somnolence,34,44.03994744410056,10041349,CHEMBL52440
8,suicide attempt,26,43.746768227798384,10042464,CHEMBL52440
9,electrolyte imbalance,13,35.511910958276076,10014418,CHEMBL52440
10,confusional state,28,32.977307346906855,10010305,CHEMBL52440
11,respiratory depression,12,31.543892975455492,10038678,CHEMBL52440
12,mydriasis,12,31.08943103933325,10028521,CHEMBL52440
13,delirium,16,28.279617725182106,10012218,CHEMBL52440
14,rhabdomyolysis,18,27.967103984410187,10039020,CHEMBL52440
15,eosinophilia,13,27.31378916886706,10014950,CHEMBL52440
16,hyperthermia,10,26.157102829383348,10020843,CHEMBL52440
17,psychotic disorder,15,26.117095342713128,10061920,CHEMBL52440
18,drug use disorder,8,24.908090822568283,10079383,CHEMBL52440
19,tachycardia,21,24.685842318616324,10043071,CHEMBL52440
20,necrosis ischaemic,5,24.414027490946864,10028862,CHEMBL52440
21,hyperchloraemia,5,24.249642779502665,10020597,CHEMBL52440
22,depressed level of consciousness,15,23.930819225332016,10012373,CHEMBL52440
23,ataxia,11,23.906836713838402,10003591,CHEMBL52440
24,clonus,7,23.23867974534278,10009346,CHEMBL52440
25,lethargy,16,22.79527271752113,10024264,CHEMBL52440
26,hallucination,16,22.519515726245572,10062824,CHEMBL52440
27,aggression,14,21.918235044660378,10001488,CHEMBL52440
28,coma,14,21.04835752557301,10010071,CHEMBL52440
29,pneumonia streptococcal,5,20.536589192640804,10035735,CHEMBL52440
30,irritability,14,20.443544207111245,10022998,CHEMBL52440
31,beta haemolytic streptococcal infection,5,19.91480700246484,10052100,CHEMBL52440
32,meniscus injury,6,19.583658854128316,10072970,CHEMBL52440
33,poisoning,7,18.785017250021156,10061355,CHEMBL52440
34,rash maculo-papular,11,18.309856671303805,10037868,CHEMBL52440
35,drug interaction,24,18.12944275351174,10013710,CHEMBL52440
36,hypothyroidism,10,17.383080362388682,10021114,CHEMBL52440
37,mental status changes,11,17.0976009845067,10048294,CHEMBL52440
38,toxic encephalopathy,6,16.000257650050116,10044221,CHEMBL52440
39,myoclonus,8,15.86633996827959,10028622,CHEMBL52440
40,logorrhoea,5,15.058099489880988,10024796,CHEMBL52440
