,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
0,TNF,tumor necrosis factor,INFLIXIMAB,Antibody,CHEMBL1201581,4.0,"['NCT05280405', 'NCT04982172']",EFO_0003767,inflammatory bowel disease
1,SCN9A,sodium voltage-gated channel alpha subunit 9,LIDOCAINE,Small molecule,CHEMBL79,4.0,['NCT05238506'],EFO_0003767,inflammatory bowel disease
2,PTGS1,prostaglandin-endoperoxide synthase 1,SULFASALAZINE,Small molecule,CHEMBL421,4.0,[],EFO_0003767,inflammatory bowel disease
3,PPAT,phosphoribosyl pyrophosphate amidotransferase,MERCAPTOPURINE,Small molecule,CHEMBL1425,4.0,['NCT02852694'],EFO_0003767,inflammatory bowel disease
4,ITGB7,integrin subunit beta 7,VEDOLIZUMAB,Antibody,CHEMBL1743087,4.0,[],EFO_0003767,inflammatory bowel disease
5,MMP8,matrix metallopeptidase 8,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,['NCT02033408'],EFO_0003767,inflammatory bowel disease
6,NR3C1,nuclear receptor subfamily 3 group C member 1,BUDESONIDE,Small molecule,CHEMBL1370,4.0,[],EFO_0003767,inflammatory bowel disease
7,TNF,tumor necrosis factor,CERTOLIZUMAB PEGOL,Antibody,CHEMBL1201831,4.0,"['NCT02597829', 'NCT01024647']",EFO_0003767,inflammatory bowel disease
8,MMP7,matrix metallopeptidase 7,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,['NCT02345733'],EFO_0003767,inflammatory bowel disease
9,TNF,tumor necrosis factor,GOLIMUMAB,Antibody,CHEMBL1201833,4.0,['NCT04156984'],EFO_0003767,inflammatory bowel disease
10,TNF,tumor necrosis factor,CERTOLIZUMAB PEGOL,Antibody,CHEMBL1201831,4.0,['NCT01696942'],EFO_0003767,inflammatory bowel disease
11,NR3C1,nuclear receptor subfamily 3 group C member 1,PREDNISONE,Small molecule,CHEMBL635,4.0,[],EFO_0003767,inflammatory bowel disease
12,MMP7,matrix metallopeptidase 7,DOXYCYCLINE,Small molecule,CHEMBL1200699,4.0,['NCT02033408'],EFO_0003767,inflammatory bowel disease
13,ITGA4,integrin subunit alpha 4,VEDOLIZUMAB,Antibody,CHEMBL1743087,4.0,"['NCT03679546', 'NCT05481619', 'NCT04006080']",EFO_0003767,inflammatory bowel disease
14,TNF,tumor necrosis factor,ADALIMUMAB,Antibody,CHEMBL1201580,4.0,['NCT01960426'],EFO_0003767,inflammatory bowel disease
