,name,count,logLR,meddraCode,chembl_id
0,colitis ulcerative,442,1319.3033807218962,10009900,CHEMBL704
1,haematochezia,275,561.8628567053092,10018836,CHEMBL704
2,frequent bowel movements,201,558.5174851265765,10017367,CHEMBL704
3,colitis,262,557.9286182660144,10009887,CHEMBL704
4,crohn's disease,274,514.0491925988099,10011401,CHEMBL704
5,myocarditis,142,386.0144696769421,10028606,CHEMBL704
6,macular degeneration,108,309.566651550238,10025409,CHEMBL704
7,condition aggravated,337,239.14043136520922,10010264,CHEMBL704
8,abdominal pain,295,196.11713571837754,10000081,CHEMBL704
9,pancreatitis,155,187.45069861364755,10033645,CHEMBL704
10,diarrhoea haemorrhagic,81,185.37858798802336,10012741,CHEMBL704
11,weight decreased,257,182.60063559465925,10047895,CHEMBL704
12,pyrexia,353,168.45730538975477,10037660,CHEMBL704
13,pancreatitis acute,110,157.6838815260635,10033647,CHEMBL704
14,pericarditis,83,155.84535733328812,10034484,CHEMBL704
15,tubulointerstitial nephritis,89,148.89441901410464,10048302,CHEMBL704
16,diarrhoea,442,146.5517297646511,10012735,CHEMBL704
17,drug intolerance,166,125.2490241544001,10061822,CHEMBL704
18,vitamin d deficiency,57,121.69490496365324,10047626,CHEMBL704
19,impaired quality of life,42,118.32390972620487,10076936,CHEMBL704
20,mucous stools,42,116.98093268979574,10028140,CHEMBL704
21,rectal haemorrhage,98,113.76745225313061,10038063,CHEMBL704
22,drug hypersensitivity,255,111.47085669822991,10013700,CHEMBL704
23,therapeutic product effect decreased,81,106.45634847523615,10082201,CHEMBL704
24,product residue present,34,105.75821351382183,10081359,CHEMBL704
25,eosinophilic pneumonia,41,102.85378906245751,10014962,CHEMBL704
26,night sweats,75,102.2981282091423,10029410,CHEMBL704
27,organising pneumonia,46,99.79072418747091,10067472,CHEMBL704
28,premature labour,49,95.05071229344321,10036600,CHEMBL704
29,c-reactive protein decreased,25,88.66071620150615,10049220,CHEMBL704
30,traumatic lung injury,30,88.5310220112442,10069363,CHEMBL704
31,bronchiectasis,41,82.72572598002444,10006445,CHEMBL704
32,treatment failure,109,73.43330246757978,10066901,CHEMBL704
33,red blood cell sedimentation rate increased,46,66.79666947475198,10049187,CHEMBL704
34,erectile dysfunction,305,1313.3314579065245,10061461,CHEMBL1520
35,drug use for unknown indication,48,341.60715948098914,10057097,CHEMBL1520
36,erection increased,53,281.1136879851583,10015120,CHEMBL1520
37,flushing,93,159.73658940276982,10016825,CHEMBL1520
38,nasal congestion,64,127.39194073486033,10028735,CHEMBL1520
39,headache,179,124.97797034559153,10019211,CHEMBL1520
40,visual disturbance,30,87.99155843143308,10047543,CHEMBL1520
41,optic ischaemic neuropathy,25,87.12221119099377,10030924,CHEMBL1520
42,cyanopsia,16,77.96250621924082,10051819,CHEMBL1520
43,penis disorder,16,61.55544840567745,10034336,CHEMBL1520
44,blindness unilateral,24,57.39996534063721,10005186,CHEMBL1520
45,priapism,19,49.83478184336309,10036661,CHEMBL1520
46,blindness transient,17,41.206253170043055,10005184,CHEMBL1520
47,vision blurred,44,35.72578871271435,10047513,CHEMBL1520
48,deafness unilateral,13,33.396940985210676,10048812,CHEMBL1520
49,anorgasmia,10,32.53528949438987,10002652,CHEMBL1520
50,ejaculation disorder,10,31.79981307966591,10014326,CHEMBL1520
51,spontaneous penile erection,7,30.129236415179548,10049118,CHEMBL1520
52,penile pain,10,29.508819632370432,10034310,CHEMBL1520
53,fatigue,9,28.44238013613358,10016256,CHEMBL1520
54,visual field defect,14,26.39215320850053,10047555,CHEMBL1520
55,ejaculation failure,8,25.66426380379744,10014328,CHEMBL1520
56,chromatopsia,7,24.502483141353878,10008795,CHEMBL1520
57,visual acuity reduced,21,23.356460387047264,10047531,CHEMBL1520
58,tinnitus,21,23.03840112257967,10043882,CHEMBL1520
59,visual brightness,5,20.95365718483663,10049155,CHEMBL1520
60,diarrhoea,12,20.497759247355134,10012735,CHEMBL1520
61,deafness,16,20.450056233414216,10011878,CHEMBL1520
62,premature ejaculation,5,20.259039343642144,10036596,CHEMBL1520
63,pneumonia,1,19.751757942296535,10035664,CHEMBL1520
64,pyrexia,4,19.158095874903665,10037660,CHEMBL1520
65,painful erection,5,18.97347007631288,10056303,CHEMBL1520
66,pain,6,18.339321130850294,10033371,CHEMBL1520
67,palpitations,29,16.60146261007867,10033557,CHEMBL1520
68,retinal detachment,10,15.797405135092049,10038848,CHEMBL1520
69,photopsia,8,15.075982850979926,10034962,CHEMBL1520
70,chloropsia,3,14.448042880412686,10008585,CHEMBL1520
