,name,count,logLR,meddraCode,chembl_id
0,pemphigoid,245,831.0559122940249,10034277,CHEMBL237500
1,pancreatitis,343,676.2706197343141,10033645,CHEMBL237500
2,hypoglycaemia,231,382.7129168646934,10020993,CHEMBL237500
3,dermatitis bullous,133,356.18898591174366,10012441,CHEMBL237500
4,diabetic ketoacidosis,151,268.86620937312546,10012671,CHEMBL237500
5,blood glucose increased,192,237.18039561829937,10005557,CHEMBL237500
6,glycosylated haemoglobin increased,97,197.8851319974783,10018484,CHEMBL237500
7,pancreatitis acute,109,157.157132894994,10033647,CHEMBL237500
8,pancreatic carcinoma,50,103.90445937246841,10033609,CHEMBL237500
9,euglycaemic diabetic ketoacidosis,41,94.97663220932009,10080061,CHEMBL237500
10,diabetes mellitus inadequate control,48,67.96489902355825,10012607,CHEMBL237500
11,amylase increased,31,63.58632969996688,10002016,CHEMBL237500
12,mitral valve thickening,13,61.022085167052865,10079336,CHEMBL237500
13,ventricular hyperkinesia,13,60.44620541296172,10056472,CHEMBL237500
14,injection site pain,1,60.424700965530064,10022086,CHEMBL237500
15,fatigue,63,57.41228364669951,10016256,CHEMBL237500
16,drug hypersensitivity,1554,2407.8286844442555,10013700,CHEMBL1200699
17,jarisch-herxheimer reaction,201,931.2783067077617,10023125,CHEMBL1200699
18,oesophageal ulcer,113,308.60455349057884,10030201,CHEMBL1200699
19,gastrointestinal mucosal necrosis,56,277.6179858319447,10017980,CHEMBL1200699
20,pancreatitis acute,151,188.59544136974728,10033647,CHEMBL1200699
21,gastrointestinal injury,53,186.02138042510342,10061172,CHEMBL1200699
22,photosensitivity reaction,116,181.95592625675636,10034972,CHEMBL1200699
23,vomiting,553,161.94173149489507,10047700,CHEMBL1200699
24,rash,521,156.96063576477172,10037844,CHEMBL1200699
25,cholangitis sclerosing,47,129.1369837598977,10008609,CHEMBL1200699
26,oesophagitis,82,120.98429211031907,10030216,CHEMBL1200699
27,intracranial pressure increased,57,113.30629439283075,10022773,CHEMBL1200699
28,drug-induced liver injury,110,103.72924778554443,10072268,CHEMBL1200699
29,injection site pain,2,102.4869174859341,10022086,CHEMBL1200699
30,fall,17,102.45492495538201,10016173,CHEMBL1200699
31,pemphigus,2102,11444.451169582848,10034280,CHEMBL1000
32,systemic lupus erythematosus,2102,9591.62070853389,10042945,CHEMBL1000
33,glossodynia,1838,9082.82441370517,10018388,CHEMBL1000
34,hand deformity,1516,7753.130444128212,10061194,CHEMBL1000
35,abdominal discomfort,2142,6880.554814692856,10000059,CHEMBL1000
36,alopecia,2122,6721.568472407176,10001760,CHEMBL1000
37,wound,1371,5937.0769615549725,10052428,CHEMBL1000
38,rheumatoid arthritis,1893,5745.308847607375,10039073,CHEMBL1000
39,swelling,1674,5359.9837899461345,10042674,CHEMBL1000
40,anti-cyclic citrullinated peptide antibody positive,925,4933.97635071593,10068798,CHEMBL1000
41,arthropathy,1411,4852.072413984541,10003285,CHEMBL1000
42,pain,2266,4507.128925292069,10033371,CHEMBL1000
43,discomfort,1201,4409.436994667645,10013082,CHEMBL1000
44,pericarditis,1019,4327.011225031463,10034484,CHEMBL1000
45,synovitis,977,3822.65457864754,10042868,CHEMBL1000
46,infusion related reaction,1191,3434.542577360953,10051792,CHEMBL1000
47,drug intolerance,1223,3051.6777784380465,10061822,CHEMBL1000
48,fatigue,2012,2928.142994570677,10016256,CHEMBL1000
49,duodenal ulcer perforation,577,2888.7186739382887,10013850,CHEMBL1000
50,rheumatoid factor positive,586,2817.490420969989,10039080,CHEMBL1000
51,hepatic enzyme increased,997,2748.9392634095057,10060795,CHEMBL1000
52,helicobacter infection,571,2565.2151376668553,10054263,CHEMBL1000
53,hypersensitivity,1152,2478.940076245817,10020751,CHEMBL1000
54,joint swelling,990,2376.0959268686784,10023232,CHEMBL1000
55,rash,1386,1964.6869632476883,10037844,CHEMBL1000
56,therapeutic product effect decreased,535,1595.2181861833888,10082201,CHEMBL1000
57,treatment failure,657,1416.3714057399702,10066901,CHEMBL1000
58,muscle injury,275,1142.0685620435834,10028314,CHEMBL1000
59,folliculitis,289,1065.6410242219717,10016936,CHEMBL1000
60,condition aggravated,797,1053.2290488885992,10010264,CHEMBL1000
61,"sleep disorder due to general medical condition, insomnia type",254,1052.2131027920186,,CHEMBL1000
62,hip arthroplasty,313,1022.599269697188,10020096,CHEMBL1000
63,swollen joint count increased,179,981.7614906825547,10079351,CHEMBL1000
64,blister,421,971.2778504941816,10005191,CHEMBL1000
65,irritable bowel syndrome,293,938.9874053030653,10023003,CHEMBL1000
66,rheumatic fever,183,938.8120631256461,10039054,CHEMBL1000
67,knee arthroplasty,298,866.8074839010151,10023469,CHEMBL1000
68,lower respiratory tract infection,311,664.9975055867981,10024968,CHEMBL1000
69,impaired healing,277,632.5683619336851,10021519,CHEMBL1000
70,arthralgia,642,583.2585968456478,10003239,CHEMBL1000
71,general physical health deterioration,349,553.7983705216902,10049438,CHEMBL1000
72,musculoskeletal stiffness,326,496.4431117045169,10052904,CHEMBL1000
73,ill-defined disorder,219,494.2092374945787,10061520,CHEMBL1000
74,type 2 diabetes mellitus,180,476.8008168998567,10067585,CHEMBL1000
75,stomatitis,282,474.0439022041828,10042128,CHEMBL1000
76,gastrointestinal disorder,282,461.607890936888,10017944,CHEMBL1000
77,pruritus,481,425.91947821956273,10037087,CHEMBL1000
78,blood cholesterol increased,217,417.09416621143464,10005425,CHEMBL1000
79,infection,330,377.51931018172763,10021789,CHEMBL1000
80,confusional state,339,335.7625737219205,10010305,CHEMBL1000
81,sinusitis,265,335.61206891353504,10040753,CHEMBL1000
82,peripheral swelling,298,303.6191867335074,10048959,CHEMBL1000
83,contusion,231,301.06107585427526,10050584,CHEMBL1000
84,live birth,105,290.07414156155573,10049550,CHEMBL1000
85,temperature regulation disorder,76,289.32289986871183,10061376,CHEMBL1000
86,macular degeneration,106,284.39349534404755,10025409,CHEMBL1000
87,nasopharyngitis,289,278.0546488018008,10028810,CHEMBL1000
88,liver injury,135,263.8328745904291,10067125,CHEMBL1000
89,weight increased,293,255.41263921587233,10047899,CHEMBL1000
90,bursitis,104,250.11152291308827,10006811,CHEMBL1000
91,food allergy,81,238.30748298313847,10016946,CHEMBL1000
92,coeliac disease,83,222.6328083811968,10009839,CHEMBL1000
93,urticaria,275,212.82929979984328,10046735,CHEMBL1000
94,asthma,189,205.31341538148263,10003553,CHEMBL1000
95,immunodeficiency,81,203.27449466136022,10061598,CHEMBL1000
96,headache,476,164.19652594532818,10019211,CHEMBL1000
97,psoriatic arthropathy,120,162.0983987917134,10037162,CHEMBL1000
98,dyspnoea,461,159.69812480056135,10013968,CHEMBL1000
99,angioedema,159,154.40000954560674,10002424,CHEMBL1000
100,drug tolerance decreased,48,149.87763736079796,10052805,CHEMBL1000
101,injury,100,140.07417530997918,10022116,CHEMBL1000
102,electric shock,34,134.00480291391432,10014357,CHEMBL1000
103,chronic spontaneous urticaria,32,122.82047761583817,10072757,CHEMBL1000
104,fibromyalgia,75,122.06247741611878,10048439,CHEMBL1000
105,wheezing,109,120.0915876063882,10047924,CHEMBL1000
106,mobility decreased,111,114.18198152534023,10048334,CHEMBL1000
107,hypertension,233,108.98760335684347,10020772,CHEMBL1000
108,dry mouth,113,106.48277210598462,10013781,CHEMBL1000
109,rash erythematous,98,106.30293353516026,10037855,CHEMBL1000
110,pyrexia,326,101.9911805224765,10037660,CHEMBL1000
111,adjustment disorder with depressed mood,29,100.7193220146437,10001297,CHEMBL1000
112,pregnancy,88,98.66503584016027,10036556,CHEMBL1000
113,drug abuse,121,97.84047015313263,10013654,CHEMBL1000
114,upper respiratory tract infection,103,94.91746578387392,10046306,CHEMBL1000
115,dislocation of vertebra,27,93.74392754004657,10013183,CHEMBL1000
116,erythema,180,92.52308138129592,10015150,CHEMBL1000
117,loss of personal independence in daily activities,75,92.21620618782617,10079487,CHEMBL1000
118,hyperhidrosis,146,85.52750664991618,10020642,CHEMBL1000
119,intervertebral discitis,34,84.51863677692745,10060738,CHEMBL1000
120,post-traumatic stress disorder,34,82.35226553289976,10036316,CHEMBL1000
121,drug hypersensitivity,250,78.85507276188582,10013700,CHEMBL1000
122,facet joint syndrome,22,78.40263038406556,10054813,CHEMBL1000
123,demyelination,41,77.20169103461376,10012305,CHEMBL1000
124,injection site pain,1,73.61428524649091,10022086,CHEMBL1000
125,cardiac arrest,24,72.55566837271863,10007515,CHEMBL278020
126,bradycardia,29,69.00805554492786,10006093,CHEMBL278020
127,atrioventricular block second degree,11,46.253973612484515,10003677,CHEMBL278020
128,atrioventricular dissociation,6,37.681250299969406,10069571,CHEMBL278020
129,pulmonary oedema,13,30.836962920478072,10037423,CHEMBL278020
130,laryngospasm,7,26.814191810836974,10023891,CHEMBL278020
131,tachycardia,15,22.519950352859496,10043071,CHEMBL278020
132,neuromuscular block prolonged,4,20.24547418476095,10029314,CHEMBL278020
133,hypotension,19,20.1392754264391,10021097,CHEMBL278020
134,negative pressure pulmonary oedema,3,20.120208119956715,10080589,CHEMBL278020
135,anaphylactic reaction,11,17.983642856524966,10002198,CHEMBL278020
136,non-cardiogenic pulmonary oedema,4,17.681060044589913,10029538,CHEMBL278020
137,atrioventricular block complete,6,17.163598644444164,10003673,CHEMBL278020
138,hysterectomy,5,16.053510204485065,10021151,CHEMBL278020
139,drug interaction,16,15.76069104791327,10013710,CHEMBL278020
140,toxic epidermal necrolysis,6,14.576925163529495,10044223,CHEMBL278020
141,heart rate decreased,7,14.122842363410882,10019301,CHEMBL278020
142,petechiae,5,12.621598827156276,10034754,CHEMBL278020
143,acute pulmonary oedema,4,11.571387794450402,10001029,CHEMBL278020
144,mental status changes postoperative,2,11.071248609694521,10049986,CHEMBL278020
145,rash macular,5,10.353420563574673,10037867,CHEMBL278020
146,unresponsive to stimuli,5,9.14272870732384,10045555,CHEMBL278020
147,supraventricular tachycardia,4,9.123490036302883,10042604,CHEMBL278020
148,acute hepatic failure,4,8.86214280129957,10000804,CHEMBL278020
149,stevens-johnson syndrome,5,8.496653224311785,10042033,CHEMBL278020
150,gastrointestinal haemorrhage,1933,2751.5755480927473,10017955,CHEMBL231779
151,haemorrhage,1358,1632.6149331348133,10055798,CHEMBL231779
152,cerebral haemorrhage,710,1216.057348067814,10008111,CHEMBL231779
153,cerebrovascular accident,1442,1197.029879535141,10008190,CHEMBL231779
154,haematoma,664,917.9419390488183,10018852,CHEMBL231779
155,haemorrhage intracranial,505,905.8364277497749,10018985,CHEMBL231779
156,cerebral infarction,596,809.2053666416032,10008118,CHEMBL231779
157,epistaxis,802,732.7306317333132,10015090,CHEMBL231779
158,subdural haematoma,428,721.098461960355,10042361,CHEMBL231779
159,deep vein thrombosis,841,647.1856276860053,10051055,CHEMBL231779
160,atrial fibrillation,884,633.4465648545884,10003658,CHEMBL231779
161,haematuria,596,612.636737742665,10018867,CHEMBL231779
