,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
0,MMP8,matrix metallopeptidase 8,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,['NCT04370782'],MONDO_0100096,COVID-19
1,IL6R,interleukin 6 receptor,TOCILIZUMAB,Antibody,CHEMBL1237022,4.0,['NCT04730323'],MONDO_0100096,COVID-19
2,RBX1,ring-box 1,LENALIDOMIDE,Small molecule,CHEMBL848,4.0,['NCT04361643'],MONDO_0100096,COVID-19
3,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
4,CD86,CD86 molecule,ABATACEPT,Protein,CHEMBL1201823,4.0,['NCT05822583'],MONDO_0100096,COVID-19
5,ADRA2A,adrenoceptor alpha 2A,DEXMEDETOMIDINE,Small molecule,CHEMBL778,4.0,['NCT04350086'],MONDO_0100096,COVID-19
6,KCNK3,potassium two pore domain channel subfamily K member 3,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
7,CYSLTR1,cysteinyl leukotriene receptor 1,MONTELUKAST SODIUM,Small molecule,CHEMBL1200681,4.0,['NCT05094596'],MONDO_0100096,COVID-19
8,GLRA1,glycine receptor alpha 1,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
9,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
10,CSF2RA,colony stimulating factor 2 receptor subunit alpha,SARGRAMOSTIM,Protein,CHEMBL1201670,4.0,['NCT04326920'],MONDO_0100096,COVID-19
11,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
12,TLR7,toll like receptor 7,HYDROXYCHLOROQUINE SULFATE,Small molecule,CHEMBL1690,4.0,"['NCT04346667', 'NCT04351191']",MONDO_0100096,COVID-19
13,TLR9,toll like receptor 9,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,"['NCT04370782', 'NCT04746365', 'NCT04466540', 'NCT04652648']",MONDO_0100096,COVID-19
14,TLR9,toll like receptor 9,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,['NCT04316377'],MONDO_0100096,COVID-19
