,name,count,logLR,meddraCode,chembl_id
0,rheumatoid arthritis,7319,23850.8685552041,10039073,CHEMBL1690
1,drug intolerance,4800,13064.491714014832,10061822,CHEMBL1690
2,joint swelling,3897,10179.541224798682,10023232,CHEMBL1690
3,pemphigus,2225,9348.99266050756,10034280,CHEMBL1690
4,synovitis,2473,9005.6937269318,10042868,CHEMBL1690
5,treatment failure,3224,8353.701609557305,10066901,CHEMBL1690
6,systemic lupus erythematosus,2383,8085.499090724712,10042945,CHEMBL1690
7,hand deformity,1849,7511.667008795572,10061194,CHEMBL1690
8,arthropathy,2546,7176.147920748714,10003285,CHEMBL1690
9,abdominal discomfort,3001,6857.347114623641,10000059,CHEMBL1690
10,glossodynia,1861,6836.924116233087,10018388,CHEMBL1690
11,alopecia,2777,6025.059902157664,10001760,CHEMBL1690
12,pain,4220,5892.002862394656,10033371,CHEMBL1690
13,therapeutic product effect decreased,1822,5547.277337126099,10082201,CHEMBL1690
14,swelling,2362,5446.170787433861,10042674,CHEMBL1690
15,anti-cyclic citrullinated peptide antibody positive,1212,5330.957763575876,10068798,CHEMBL1690
16,rheumatoid factor positive,1026,4295.506668200222,10039080,CHEMBL1690
17,wound,1371,4214.884922060766,10052428,CHEMBL1690
18,arthralgia,3076,3903.889873505206,10003239,CHEMBL1690
19,condition aggravated,2683,3614.636969828309,10010264,CHEMBL1690
20,hepatic enzyme increased,1647,3412.402230099513,10060795,CHEMBL1690
21,drug hypersensitivity,2533,3116.2870327151904,10013700,CHEMBL1690
22,discomfort,1191,2906.199915657766,10013082,CHEMBL1690
23,pericarditis,963,2854.0227886811335,10034484,CHEMBL1690
24,rash,2836,2775.475590383445,10037844,CHEMBL1690
25,loss of personal independence in daily activities,1049,2752.7723149173544,10079487,CHEMBL1690
26,fatigue,3386,2749.9079791842087,10016256,CHEMBL1690
27,hypersensitivity,1777,2499.6575614318426,10020751,CHEMBL1690
28,c-reactive protein abnormal,686,2453.7287755048164,10068559,CHEMBL1690
29,musculoskeletal stiffness,1354,2384.8499977840256,10052904,CHEMBL1690
30,infusion related reaction,1295,2326.8651669282117,10051792,CHEMBL1690
31,therapeutic product effect incomplete,1041,2246.965035566478,10082200,CHEMBL1690
32,red blood cell sedimentation rate abnormal,550,2133.790181167613,10049186,CHEMBL1690
33,peripheral swelling,1457,2036.8508718389203,10048959,CHEMBL1690
34,duodenal ulcer perforation,544,2020.2264443729364,10013850,CHEMBL1690
35,helicobacter infection,574,1897.3462631186267,10054263,CHEMBL1690
36,infection,1293,1710.1233454728354,10021789,CHEMBL1690
37,red blood cell sedimentation rate increased,608,1607.0368662481196,10049187,CHEMBL1690
38,c-reactive protein increased,836,1542.315413215285,10006825,CHEMBL1690
39,knee arthroplasty,577,1392.5854136765556,10023469,CHEMBL1690
40,mobility decreased,792,1388.1544456889824,10048334,CHEMBL1690
41,gastrointestinal disorder,826,1278.5625447364582,10017944,CHEMBL1690
42,hip arthroplasty,486,1235.3483028831688,10020096,CHEMBL1690
43,osteoarthritis,635,1112.149717081309,10031161,CHEMBL1690
44,"sleep disorder due to general medical condition, insomnia type",339,1105.1677891656436,,CHEMBL1690
45,bone erosion,293,971.6700405550946,10051728,CHEMBL1690
46,arthritis,646,895.0313748516637,10003246,CHEMBL1690
47,muscle injury,282,844.9893087466771,10028314,CHEMBL1690
48,irritable bowel syndrome,363,819.6776095577661,10023003,CHEMBL1690
49,nausea,2158,802.6296434107498,10028813,CHEMBL1690
50,swollen joint count increased,180,775.3999259465782,10079351,CHEMBL1690
51,ill-defined disorder,430,756.7834401171422,10061520,CHEMBL1690
52,rheumatic fever,187,744.0746151508793,10039054,CHEMBL1690
53,psoriatic arthropathy,481,743.6519591823453,10037162,CHEMBL1690
54,folliculitis,293,742.2421539558418,10016936,CHEMBL1690
55,impaired work ability,324,714.1913915834739,10052302,CHEMBL1690
56,pain in extremity,1098,709.4482098070876,10033425,CHEMBL1690
57,disability,269,673.3292772654677,10013050,CHEMBL1690
58,inflammation,481,669.4249648164841,10061218,CHEMBL1690
59,lower respiratory tract infection,469,668.5924187565543,10024968,CHEMBL1690
60,rheumatoid nodule,226,663.7206013617542,10048694,CHEMBL1690
61,stomatitis,547,659.9015501391841,10042128,CHEMBL1690
62,sinusitis,649,650.9539493578341,10040753,CHEMBL1690
63,musculoskeletal pain,535,633.2352496563544,10028391,CHEMBL1690
64,deformity,208,620.7980639306188,10061619,CHEMBL1690
65,blister,459,587.2921620614798,10005191,CHEMBL1690
66,impaired healing,386,572.3030258507497,10021519,CHEMBL1690
67,drug tolerance decreased,176,571.5502955738048,10052805,CHEMBL1690
68,blood iron abnormal,150,552.0277984519344,10005617,CHEMBL1690
69,musculoskeletal disorder,293,537.7480357421882,10048592,CHEMBL1690
70,liver function test increased,349,535.0586633554922,10077692,CHEMBL1690
71,general physical health deterioration,547,514.3016395192972,10049438,CHEMBL1690
72,pulmonary fibrosis,288,513.5356059970509,10037383,CHEMBL1690
73,diverticulitis,355,510.8689792410878,10013538,CHEMBL1690
74,fibromyalgia,284,505.0304438029416,10048439,CHEMBL1690
75,blood cholesterol increased,375,504.2288260173955,10005425,CHEMBL1690
76,granuloma skin,137,503.47634514665697,10018698,CHEMBL1690
77,joint range of motion decreased,241,488.37996349563764,10048706,CHEMBL1690
78,sciatica,255,480.63429192765034,10039674,CHEMBL1690
79,gait inability,264,469.2254438822856,10017581,CHEMBL1690
80,apparent death,158,465.20332322143076,10067476,CHEMBL1690
81,therapeutic response decreased,451,447.2980124173191,10043414,CHEMBL1690
82,blood parathyroid hormone decreased,142,444.7068567828246,10005702,CHEMBL1690
83,nasopharyngitis,646,427.27648301789304,10028810,CHEMBL1690
84,type 2 diabetes mellitus,236,419.5825924403762,10067585,CHEMBL1690
85,physical disability,123,397.9828121143364,10048624,CHEMBL1690
86,panniculitis,149,394.768780505372,10033675,CHEMBL1690
87,eye disorder,260,382.5623802058399,10015916,CHEMBL1690
88,non-hodgkin's lymphoma,165,381.59561380845844,10029547,CHEMBL1690
89,sleep disorder,369,372.3246529520402,10040984,CHEMBL1690
90,shoulder arthroplasty,124,361.87654589406156,10049551,CHEMBL1690
91,joint stiffness,260,358.00427412644785,10023230,CHEMBL1690
92,diarrhoea,1453,357.5816998483351,10012735,CHEMBL1690
93,herpes zoster,410,357.2882131444785,10019974,CHEMBL1690
94,red blood cell sedimentation rate,85,355.84414909734915,10049184,CHEMBL1690
95,musculoskeletal deformity,86,355.0418245558685,10065783,CHEMBL1690
96,gait disturbance,586,353.51112465339247,10017577,CHEMBL1690
97,spinal stenosis,119,353.1232823184546,10082214,CHEMBL1690
98,interstitial lung disease,373,326.91386079989024,10022611,CHEMBL1690
99,tenosynovitis,133,313.24007794565114,10043261,CHEMBL1690
100,grip strength decreased,151,308.8003883175261,10062556,CHEMBL1690
101,neck pain,320,308.0140533824451,10028836,CHEMBL1690
102,presbyacusis,81,303.0369262304448,10036626,CHEMBL1690
103,headache,1278,302.235639969309,10019211,CHEMBL1690
104,glaucoma,199,301.1049370087276,10018304,CHEMBL1690
105,arthrodesis,95,299.93024360763957,10061683,CHEMBL1690
106,joint effusion,153,280.331972047381,10023215,CHEMBL1690
107,joint destruction,100,275.025320150482,10023203,CHEMBL1690
108,nodule,175,270.41529700711544,10054107,CHEMBL1690
109,polyarthritis,142,270.0704950034851,10036030,CHEMBL1690
110,pleural thickening,78,269.7691094269976,10035616,CHEMBL1690
111,fine motor skill dysfunction,99,259.0045687390957,10076288,CHEMBL1690
112,x-ray abnormal,82,254.9871172033454,10048065,CHEMBL1690
113,foot deformity,149,250.51903614473122,10061159,CHEMBL1690
114,juvenile idiopathic arthritis,100,243.11537555549876,10059176,CHEMBL1690
115,contusion,357,242.54550439384184,10050584,CHEMBL1690
116,pleural fibrosis,82,238.26172640407458,10035600,CHEMBL1690
117,deafness transitory,75,238.06645182588545,10011900,CHEMBL1690
118,skin necrosis,135,236.3541381443938,10040893,CHEMBL1690
119,optic ischaemic neuropathy,168,574.4329754229911,10030924,CHEMBL1737
120,cyanopsia,91,421.7879782944874,10051819,CHEMBL1737
121,pulmonary arterial hypertension,187,415.2405585316883,10064911,CHEMBL1737
122,pulmonary hypertension,211,399.20830179785116,10037400,CHEMBL1737
123,right ventricular failure,121,297.33005862865684,10039163,CHEMBL1737
124,erection increased,70,252.01995058579632,10015120,CHEMBL1737
125,dyspnoea,756,250.09077319483913,10013968,CHEMBL1737
126,blindness unilateral,100,187.531520627781,10005186,CHEMBL1737
127,headache,694,183.58664460379805,10019211,CHEMBL1737
