,Protein,ENSG,UniProt,Source,Score,disease_id
0,IFNAR2,ENSG00000159110,P48551,uniprot_swissprot,0.661081358624319,MONDO_0100096
1,TLR7,ENSG00000196664,Q9NYK1,uniprot_swissprot,0.6251846036844425,MONDO_0100096
2,TLR9,ENSG00000239732,Q9NR96,uniprot_swissprot,0.621372038869167,MONDO_0100096
3,NR3C1,ENSG00000113580,P04150,uniprot_swissprot,0.6094133462335695,MONDO_0100096
4,VDR,ENSG00000111424,P11473,uniprot_swissprot,0.603223717548999,MONDO_0100096
5,ACE2,ENSG00000130234,Q9BYF1,uniprot_swissprot,0.5991104713592985,MONDO_0100096
6,MMP1,ENSG00000196611,P03956,uniprot_swissprot,0.5980040524419411,MONDO_0100096
7,SERPINC1,ENSG00000117601,P01008,uniprot_swissprot,0.5928292748075644,MONDO_0100096
8,CYP3A4,ENSG00000160868,P08684,uniprot_swissprot,0.5887416390355611,MONDO_0100096
9,CYP3A5,ENSG00000106258,P20815,uniprot_swissprot,0.5857916320759949,MONDO_0100096
10,MMP7,ENSG00000137673,P09237,uniprot_swissprot,0.5852065414434793,MONDO_0100096
11,CYP3A7,ENSG00000160870,P24462,uniprot_swissprot,0.5847290899937764,MONDO_0100096
12,CYP3A43,ENSG00000021461,Q9HB55,uniprot_swissprot,0.5847290899937764,MONDO_0100096
13,MMP8,ENSG00000118113,P22894,uniprot_swissprot,0.5845335779603501,MONDO_0100096
14,F10,ENSG00000126218,P00742,uniprot_swissprot,0.5820950408832869,MONDO_0100096
15,MMP13,ENSG00000137745,P45452,uniprot_swissprot,0.5752169236151841,MONDO_0100096
16,IL6R,ENSG00000160712,P08887,uniprot_swissprot,0.5676171143294757,MONDO_0100096
17,IFNAR1,ENSG00000142166,P17181,uniprot_swissprot,0.5666584879202041,MONDO_0100096
18,SDC1,ENSG00000115884,P18827,uniprot_swissprot,0.5641020914575132,MONDO_0100096
19,AGTR1,ENSG00000144891,P30556,uniprot_swissprot,0.5593094271696725,MONDO_0100096
20,GPC1,ENSG00000063660,P35052,uniprot_swissprot,0.5430103345490354,MONDO_0100096
21,HSPG2,ENSG00000142798,P98160,uniprot_swissprot,0.5424463659568936,MONDO_0100096
22,AGRN,ENSG00000188157,O00468,uniprot_swissprot,0.5422249773578304,MONDO_0100096
23,GPC3,ENSG00000147257,P51654,uniprot_swissprot,0.542091517965861,MONDO_0100096
24,SDC2,ENSG00000169439,P34741,uniprot_swissprot,0.5416090109333559,MONDO_0100096
25,GPC4,ENSG00000076716,O75487,uniprot_swissprot,0.5409211817593593,MONDO_0100096
26,GPC2,ENSG00000213420,Q8N158,uniprot_swissprot,0.5409211817593593,MONDO_0100096
27,GPC6,ENSG00000183098,Q9Y625,uniprot_swissprot,0.5409211817593593,MONDO_0100096
28,SDC3,ENSG00000162512,O75056,uniprot_swissprot,0.5409211817593593,MONDO_0100096
29,SDC4,ENSG00000124145,P31431,uniprot_swissprot,0.5409211817593593,MONDO_0100096
30,GPC5,ENSG00000179399,P78333,uniprot_swissprot,0.5409211817593593,MONDO_0100096
31,HRH2,ENSG00000113749,P25021,uniprot_swissprot,0.531280302282941,MONDO_0100096
32,PTGS2,ENSG00000073756,P35354,uniprot_swissprot,0.5284252004907855,MONDO_0100096
33,FURIN,ENSG00000140564,P09958,uniprot_swissprot,0.5256939538346432,MONDO_0100096
34,TMPRSS2,ENSG00000184012,O15393,uniprot_swissprot,0.5234759554334031,MONDO_0100096
35,TUBB2A,ENSG00000137267,Q13885,uniprot_swissprot,0.5226254031761784,MONDO_0100096
36,CYSLTR1,ENSG00000173198,Q9Y271,uniprot_swissprot,0.5219025898665413,MONDO_0100096
37,GABRP,ENSG00000094755,O00591,uniprot_swissprot,0.52189513320782,MONDO_0100096
38,PTGS1,ENSG00000095303,P23219,uniprot_swissprot,0.5217181570778283,MONDO_0100096
39,GABRG2,ENSG00000113327,P18507,uniprot_swissprot,0.5214434958435379,MONDO_0100096
40,TUBB3,ENSG00000258947,Q13509,uniprot_swissprot,0.5211470837574397,MONDO_0100096
41,TUBB4B,ENSG00000188229,P68371,uniprot_swissprot,0.5208698988664261,MONDO_0100096
42,AR,ENSG00000169083,P10275,uniprot_swissprot,0.5205561489609032,MONDO_0100096
43,GABRA2,ENSG00000151834,P47869,uniprot_swissprot,0.5204606221946243,MONDO_0100096
44,TUBB8,ENSG00000261456,Q3ZCM7,uniprot_swissprot,0.5202231341207278,MONDO_0100096
45,GABRD,ENSG00000187730,O14764,uniprot_swissprot,0.5200091216484499,MONDO_0100096
46,TUBB1,ENSG00000101162,Q9H4B7,uniprot_swissprot,0.5198535542660432,MONDO_0100096
47,TUBB,ENSG00000196230,P07437,uniprot_swissprot,0.5198535542660432,MONDO_0100096
48,TUBB4A,ENSG00000104833,P04350,uniprot_swissprot,0.5198535542660432,MONDO_0100096
49,TUBB6,ENSG00000176014,Q9BUF5,uniprot_swissprot,0.5198535542660432,MONDO_0100096
50,TUBB2B,ENSG00000137285,Q9BVA1,uniprot_swissprot,0.5198535542660432,MONDO_0100096
51,GABRA1,ENSG00000022355,P14867,uniprot_swissprot,0.5195955965701143,MONDO_0100096
52,GABRA3,ENSG00000011677,P34903,uniprot_swissprot,0.5195955965701143,MONDO_0100096
53,GABRG3,ENSG00000182256,Q99928,uniprot_swissprot,0.5195955965701143,MONDO_0100096
54,GABRG1,ENSG00000163285,Q8N1C3,uniprot_swissprot,0.5195955965701143,MONDO_0100096
