,name,count,logLR,meddraCode,chembl_id
0,body tinea,13,71.50922346869083,10005913,CHEMBL628
1,glucose tolerance impaired,18,68.48380579136028,10018429,CHEMBL628
2,impaired quality of life,15,59.41838073216877,10076936,CHEMBL628
3,infection susceptibility increased,13,55.488282713917215,10021866,CHEMBL628
4,inhibitory drug interaction,13,54.84902057898944,10068071,CHEMBL628
5,purpura,18,49.471530899648315,10037549,CHEMBL628
6,cellulitis,26,41.25687181194189,10007882,CHEMBL628
7,peripheral ischaemia,13,41.103825971932565,10034576,CHEMBL628
8,pneumonia mycoplasmal,9,40.6565346084526,10035724,CHEMBL628
9,impaired work ability,15,39.44296279860737,10052302,CHEMBL628
10,pseudomonas infection,13,38.9030924568915,10061471,CHEMBL628
11,bone density decreased,13,38.01515073983046,10049470,CHEMBL628
12,poor quality sleep,15,37.3935760735194,10062519,CHEMBL628
13,klebsiella infection,11,34.38385533740529,10061259,CHEMBL628
14,extremity necrosis,9,34.16422600743863,10059385,CHEMBL628
15,deafness bilateral,9,33.624052874841254,10052556,CHEMBL628
16,pleural mass,5,33.44424604748201,10082101,CHEMBL628
17,peripheral artery occlusion,8,32.998766689711374,10057525,CHEMBL628
18,oral herpes,13,31.374954114444336,10067152,CHEMBL628
19,infantile apnoea,7,29.771255817850033,10077321,CHEMBL628
20,sepsis,24,29.509376369778693,10040047,CHEMBL628
21,cushing's syndrome,10,28.68610883128622,10011652,CHEMBL628
22,hyperlipidaemia,13,27.754018027878374,10062060,CHEMBL628
23,radiotherapy to brain,4,27.28577603768281,10061542,CHEMBL628
24,bradycardia neonatal,7,25.60987712440965,10056471,CHEMBL628
25,international normalised ratio increased,17,24.032148502678865,10022595,CHEMBL628
26,hypertension,32,23.65504599803262,10020772,CHEMBL628
27,femoral neck fracture,9,23.606629432068985,10016450,CHEMBL628
28,skin disorder,13,23.449371782143317,10040831,CHEMBL628
29,interstitial lung disease,18,23.43351285040717,10022611,CHEMBL628
30,biopsy lymph gland,4,23.294402170293324,10004797,CHEMBL628
31,peripheral coldness,10,22.390464943853658,10034568,CHEMBL628
32,mitral valve prolapse,6,21.091822534705898,10027730,CHEMBL628
33,electrolyte imbalance,10,21.025835504924544,10014418,CHEMBL628
34,subdural haematoma,10,19.718926326024302,10042361,CHEMBL628
35,cataract,14,19.65835389490985,10007739,CHEMBL628
36,hilar lymphadenopathy,5,19.329282218020126,10020094,CHEMBL628
37,hyperkalaemia,15,19.326692797787473,10020646,CHEMBL628
38,respiratory disorder neonatal,6,19.314304363177143,10061484,CHEMBL628
39,endarterectomy,4,18.38511803354686,10014648,CHEMBL628
40,multiple drug therapy,4,18.38511803354686,10074950,CHEMBL628
41,anterior chamber cleavage syndrome,3,17.860853897978814,10059199,CHEMBL628
42,sense of oppression,5,17.565393239484365,10040007,CHEMBL628
43,corneal leukoma,3,16.852581475730403,10066968,CHEMBL628
44,developmental glaucoma,3,16.306417808053993,10012565,CHEMBL628
45,mycobacterium abscessus infection,4,16.114361675135115,10064789,CHEMBL628
46,finger amputation,4,15.961852791181627,10016678,CHEMBL628
47,herpes zoster,15,15.81140048648922,10019974,CHEMBL628
48,metabolic syndrome,5,15.675265707498511,10052066,CHEMBL628
49,central obesity,4,15.419192711386131,10065941,CHEMBL628
50,melaena,11,15.307328294958097,10027141,CHEMBL628
51,ulcer,8,15.23410092260201,10045285,CHEMBL628
52,metastatic neoplasm,5,15.138135076098479,10061289,CHEMBL628
53,otitis media acute,4,15.086072787574267,10033079,CHEMBL628
54,haematoma,11,14.717327455996383,10018852,CHEMBL628
55,hypokalaemia,14,14.327518320432318,10021015,CHEMBL628
56,anaemia,28,14.316787379053494,10002034,CHEMBL628
57,osteonecrosis,11,13.930997206884058,10031264,CHEMBL628
58,oral candidiasis,7,13.827898140270008,10030963,CHEMBL628
59,type 2 lepra reaction,3,13.77093228918784,10070517,CHEMBL628
60,corneal neovascularisation,3,13.564754687598906,10055665,CHEMBL628
61,microphthalmos,3,13.453049813530015,10027548,CHEMBL628
62,gingival disorder,5,13.386710848626535,10018280,CHEMBL628
63,hirsutism,4,13.35947492300329,10020112,CHEMBL628
64,otitis media,5,12.751990573914554,10033078,CHEMBL628
65,atrial septal defect,7,12.70359533498413,10003664,CHEMBL628
66,contusion,14,12.684425045427815,10050584,CHEMBL628
67,haematotoxicity,7,12.666811182435595,10061188,CHEMBL628
68,oliguria,6,12.627252827626762,10030302,CHEMBL628
69,cushingoid,5,12.362605709208765,10011655,CHEMBL628
70,pulse absent,5,12.196066553115088,10037469,CHEMBL628
71,venoocclusive disease,4,12.055391194391632,10062173,CHEMBL628
72,systemic scleroderma,3,11.989638574445053,10078638,CHEMBL628
73,medical device site cellulitis,2,11.44375613354623,10075571,CHEMBL628
74,insomnia,22,11.415212616622739,10022437,CHEMBL628
75,vertigo,12,11.324999276787821,10047340,CHEMBL628
76,pulmonary fibrosis,7,11.209690237512405,10037383,CHEMBL628
77,gastrointestinal haemorrhage,15,10.961237416599943,10017955,CHEMBL628
78,hepatocellular injury,9,10.887259106466445,10019837,CHEMBL628
79,alpha tumour necrosis factor increased,2,10.869194399298976,10059982,CHEMBL628
80,sepsis neonatal,3,10.761268509774709,10040049,CHEMBL628
81,mediastinal haemorrhage,2,10.731437916720097,10056343,CHEMBL628
82,dyslipidaemia,5,10.603829693823172,10058108,CHEMBL628
83,allodynia,3,10.487451878413594,10053552,CHEMBL628
84,medical device site erosion,2,10.481570151879168,10076104,CHEMBL628
85,necrosis,5,10.393568437551949,10028851,CHEMBL628
86,joint contracture,3,10.128299019237602,10023201,CHEMBL628
87,oedema peripheral,18,9.985387310744954,10030124,CHEMBL628
