,approvedSymbol,approvedName,prefName,drugType,drugId,phase,ctIds,id,disease
0,IL6R,interleukin 6 receptor,TOCILIZUMAB,Antibody,CHEMBL1237022,4.0,['NCT04730323'],MONDO_0100096,COVID-19
1,MMP8,matrix metallopeptidase 8,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,['NCT04370782'],MONDO_0100096,COVID-19
2,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
3,RBX1,ring-box 1,LENALIDOMIDE,Small molecule,CHEMBL848,4.0,['NCT04361643'],MONDO_0100096,COVID-19
4,ADRA2A,adrenoceptor alpha 2A,DEXMEDETOMIDINE,Small molecule,CHEMBL778,4.0,['NCT04350086'],MONDO_0100096,COVID-19
5,CD86,CD86 molecule,ABATACEPT,Protein,CHEMBL1201823,4.0,['NCT05822583'],MONDO_0100096,COVID-19
6,KCNK3,potassium two pore domain channel subfamily K member 3,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
7,CYSLTR1,cysteinyl leukotriene receptor 1,MONTELUKAST SODIUM,Small molecule,CHEMBL1200681,4.0,['NCT05094596'],MONDO_0100096,COVID-19
8,GLRA1,glycine receptor alpha 1,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
9,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
10,CSF2RA,colony stimulating factor 2 receptor subunit alpha,SARGRAMOSTIM,Protein,CHEMBL1201670,4.0,['NCT04326920'],MONDO_0100096,COVID-19
11,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
12,TLR7,toll like receptor 7,HYDROXYCHLOROQUINE SULFATE,Small molecule,CHEMBL1690,4.0,"['NCT04351191', 'NCT04346667']",MONDO_0100096,COVID-19
13,TLR9,toll like receptor 9,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,"['NCT04746365', 'NCT04652648', 'NCT04370782', 'NCT04466540']",MONDO_0100096,COVID-19
14,TLR9,toll like receptor 9,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,['NCT04316377'],MONDO_0100096,COVID-19
15,INSR,insulin receptor,INSULIN,Protein,CHEMBL1201631,4.0,['NCT04341935'],MONDO_0100096,COVID-19
16,PPIA,peptidylprolyl isomerase A,CYCLOSPORINE,Protein,CHEMBL160,4.0,['NCT04392531'],MONDO_0100096,COVID-19
17,NR3C2,nuclear receptor subfamily 3 group C member 2,CANRENOATE POTASSIUM,Small molecule,CHEMBL1371200,4.0,['NCT04912011'],MONDO_0100096,COVID-19
18,MMP1,matrix metallopeptidase 1,DOXYCYCLINE,Small molecule,CHEMBL1200699,4.0,"['NCT04715295', 'NCT04729140']",MONDO_0100096,COVID-19
19,IFNAR2,interferon alpha and beta receptor subunit 2,INTERFERON BETA-1A,Protein,CHEMBL1201562,4.0,"['NCT04350684', 'NCT04350671']",MONDO_0100096,COVID-19
20,GHR,growth hormone receptor,SOMATROPIN,Protein,CHEMBL1201621,4.0,['NCT04532554'],MONDO_0100096,COVID-19
21,KCNK18,potassium two pore domain channel subfamily K member 18,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
22,CYP3A43,cytochrome P450 family 3 subfamily A member 43,RITONAVIR,Small molecule,CHEMBL163,4.0,['NCT04286503'],MONDO_0100096,COVID-19
23,NR3C1,nuclear receptor subfamily 3 group C member 1,BUDESONIDE,Small molecule,CHEMBL1370,4.0,['NCT04355637'],MONDO_0100096,COVID-19
24,HRH1,histamine receptor H1,CETIRIZINE,Small molecule,CHEMBL1000,4.0,['NCT04836806'],MONDO_0100096,COVID-19
25,TUBB1,tubulin beta 1 class VI,COLCHICINE,Small molecule,CHEMBL107,4.0,['NCT05246072'],MONDO_0100096,COVID-19
26,IFNAR2,interferon alpha and beta receptor subunit 2,PEGINTERFERON ALFA-2B,Protein,CHEMBL1201561,4.0,['NCT04254874'],MONDO_0100096,COVID-19
27,TLR7,toll like receptor 7,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,"['NCT04346667', 'NCT04351191', 'NCT04341493']",MONDO_0100096,COVID-19
28,VDR,vitamin D receptor,ERGOCALCIFEROL,Small molecule,CHEMBL1536,4.0,['NCT05166005'],MONDO_0100096,COVID-19
29,GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
30,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
31,GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
32,GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
33,SERPINC1,serpin family C member 1,ENOXAPARIN SODIUM,Oligosaccharide,CHEMBL1201476,4.0,['NCT04406389'],MONDO_0100096,COVID-19
34,GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
35,NR3C1,nuclear receptor subfamily 3 group C member 1,DEXAMETHASONE,Small molecule,CHEMBL384467,4.0,"['NCT05004753', 'NCT04726098', 'NCT04707534', 'NCT04663555']",MONDO_0100096,COVID-19
36,MMP13,matrix metallopeptidase 13,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,"['NCT04715295', 'NCT04729140']",MONDO_0100096,COVID-19
37,TLR7,toll like receptor 7,HYDROXYCHLOROQUINE SULFATE,Small molecule,CHEMBL1690,4.0,['NCT04316377'],MONDO_0100096,COVID-19
38,TUBB,tubulin beta class I,COLCHICINE,Small molecule,CHEMBL107,4.0,['NCT05246072'],MONDO_0100096,COVID-19
39,TLR9,toll like receptor 9,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,['NCT04334967'],MONDO_0100096,COVID-19
40,MMP8,matrix metallopeptidase 8,DOXYCYCLINE,Small molecule,CHEMBL1200699,4.0,['NCT04370782'],MONDO_0100096,COVID-19
41,TLR7,toll like receptor 7,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,['NCT04316377'],MONDO_0100096,COVID-19
42,GABRE,gamma-aminobutyric acid type A receptor subunit epsilon,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
43,CYP3A7,cytochrome P450 family 3 subfamily A member 7,RITONAVIR,Small molecule,CHEMBL163,4.0,['NCT04291729'],MONDO_0100096,COVID-19
44,RARG,retinoic acid receptor gamma,ISOTRETINOIN,Small molecule,CHEMBL547,4.0,['NCT04623385'],MONDO_0100096,COVID-19
45,VDR,vitamin D receptor,CHOLECALCIFEROL,Small molecule,CHEMBL1042,4.0,['NCT04552951'],MONDO_0100096,COVID-19
46,MMP7,matrix metallopeptidase 7,DOXYCYCLINE,Small molecule,CHEMBL1200699,4.0,"['NCT04729140', 'NCT04715295']",MONDO_0100096,COVID-19
47,ACHE,acetylcholinesterase (Yt blood group),NEOSTIGMINE,Small molecule,CHEMBL278020,4.0,['NCT05817019'],MONDO_0100096,COVID-19
48,MMP13,matrix metallopeptidase 13,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,['NCT04370782'],MONDO_0100096,COVID-19
49,GABRB1,gamma-aminobutyric acid type A receptor subunit beta1,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
50,GABRD,gamma-aminobutyric acid type A receptor subunit delta,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
51,DPP4,dipeptidyl peptidase 4,LINAGLIPTIN,Small molecule,CHEMBL237500,4.0,['NCT04341935'],MONDO_0100096,COVID-19
52,IL6R,interleukin 6 receptor,TOCILIZUMAB,Antibody,CHEMBL1237022,4.0,['NCT05133635'],MONDO_0100096,COVID-19
53,TLR9,toll like receptor 9,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,"['NCT04362332', 'NCT04715295', 'NCT04355026']",MONDO_0100096,COVID-19
54,SERPINC1,serpin family C member 1,HEPARIN SODIUM,Oligosaccharide,CHEMBL1201657,4.0,"['NCT04406389', 'NCT04584580']",MONDO_0100096,COVID-19
55,AR,androgen receptor,TESTOSTERONE,Small molecule,CHEMBL386630,4.0,['NCT04623385'],MONDO_0100096,COVID-19
56,MMP7,matrix metallopeptidase 7,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,['NCT04370782'],MONDO_0100096,COVID-19
57,CYP3A5,cytochrome P450 family 3 subfamily A member 5,RITONAVIR,Small molecule,CHEMBL163,4.0,"['NCT04345276', 'NCT04255017', 'NCT05697055', 'NCT04738045']",MONDO_0100096,COVID-19
58,GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
59,GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
60,KCNK2,potassium two pore domain channel subfamily K member 2,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
61,CYP3A7,cytochrome P450 family 3 subfamily A member 7,RITONAVIR,Small molecule,CHEMBL163,4.0,['NCT04286503'],MONDO_0100096,COVID-19
62,GABRQ,gamma-aminobutyric acid type A receptor subunit theta,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
63,TUBB2A,tubulin beta 2A class IIa,COLCHICINE,Small molecule,CHEMBL107,4.0,['NCT05246072'],MONDO_0100096,COVID-19
64,TUBB6,tubulin beta 6 class V,COLCHICINE,Small molecule,CHEMBL107,4.0,['NCT05246072'],MONDO_0100096,COVID-19
65,F10,coagulation factor X,APIXABAN,Small molecule,CHEMBL231779,4.0,['NCT04512079'],MONDO_0100096,COVID-19
66,RARA,retinoic acid receptor alpha,ISOTRETINOIN,Small molecule,CHEMBL547,4.0,['NCT04623385'],MONDO_0100096,COVID-19
67,HRH2,histamine receptor H2,FAMOTIDINE,Small molecule,CHEMBL902,4.0,"['NCT04565392', 'NCT04836806']",MONDO_0100096,COVID-19
68,TLR9,toll like receptor 9,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,"['NCT04359615', 'NCT04363203', 'NCT04359316']",MONDO_0100096,COVID-19
69,GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
70,MMP1,matrix metallopeptidase 1,DOXYCYCLINE,Small molecule,CHEMBL1200699,4.0,['NCT04370782'],MONDO_0100096,COVID-19
71,GABRP,gamma-aminobutyric acid type A receptor subunit pi,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
72,MMP7,matrix metallopeptidase 7,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,"['NCT04729140', 'NCT04715295']",MONDO_0100096,COVID-19
73,NR3C1,nuclear receptor subfamily 3 group C member 1,METHYLPREDNISOLONE,Small molecule,CHEMBL650,4.0,['NCT05133635'],MONDO_0100096,COVID-19
74,GABRP,gamma-aminobutyric acid type A receptor subunit pi,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
75,CYP3A43,cytochrome P450 family 3 subfamily A member 43,RITONAVIR,Small molecule,CHEMBL163,4.0,['NCT04291729'],MONDO_0100096,COVID-19
76,PDE5A,phosphodiesterase 5A,TADALAFIL,Small molecule,CHEMBL779,4.0,['NCT04946162'],MONDO_0100096,COVID-19
77,TUBB4B,tubulin beta 4B class IVb,COLCHICINE,Small molecule,CHEMBL107,4.0,['NCT05246072'],MONDO_0100096,COVID-19
78,KCNK9,potassium two pore domain channel subfamily K member 9,SEVOFLURANE,Small molecule,CHEMBL1200694,4.0,['NCT04359862'],MONDO_0100096,COVID-19
79,SERPINC1,serpin family C member 1,HEPARIN SODIUM,Oligosaccharide,CHEMBL1201657,4.0,['NCT04394377'],MONDO_0100096,COVID-19
80,F10,coagulation factor X,RIVAROXABAN,Small molecule,CHEMBL198362,4.0,['NCT04757857'],MONDO_0100096,COVID-19
81,TLR7,toll like receptor 7,HYDROXYCHLOROQUINE,Small molecule,CHEMBL1535,4.0,"['NCT04351919', 'NCT04338906']",MONDO_0100096,COVID-19
82,PTGS1,prostaglandin-endoperoxide synthase 1,IBUPROFEN,Small molecule,CHEMBL521,4.0,['NCT04334629'],MONDO_0100096,COVID-19
83,MMP1,matrix metallopeptidase 1,DOXYCYCLINE ANHYDROUS,Small molecule,CHEMBL1433,4.0,['NCT04370782'],MONDO_0100096,COVID-19
84,CRBN,cereblon,LENALIDOMIDE,Small molecule,CHEMBL848,4.0,['NCT04361643'],MONDO_0100096,COVID-19
85,GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
86,NR3C2,nuclear receptor subfamily 3 group C member 2,CANRENOATE,Small molecule,CHEMBL1616951,4.0,['NCT04912011'],MONDO_0100096,COVID-19
87,NR3C1,nuclear receptor subfamily 3 group C member 1,DEXAMETHASONE,Small molecule,CHEMBL384467,4.0,['NCT04530409'],MONDO_0100096,COVID-19
88,CYP3A4,cytochrome P450 family 3 subfamily A member 4,RITONAVIR,Small molecule,CHEMBL163,4.0,"['NCT05697055', 'NCT04738045', 'NCT04255017', 'NCT04345276']",MONDO_0100096,COVID-19
89,VDR,vitamin D receptor,CHOLECALCIFEROL,Small molecule,CHEMBL1042,4.0,"['NCT04636086', 'NCT04952857']",MONDO_0100096,COVID-19
90,SERPINC1,serpin family C member 1,ENOXAPARIN SODIUM,Oligosaccharide,CHEMBL1201476,4.0,"['NCT04360824', 'NCT04512079', 'NCT04394377']",MONDO_0100096,COVID-19
91,NR3C1,nuclear receptor subfamily 3 group C member 1,DEXAMETHASONE,Small molecule,CHEMBL384467,4.0,"['NCT04746430', 'NCT04780581', 'NCT04325061']",MONDO_0100096,COVID-19
92,CYP3A4,cytochrome P450 family 3 subfamily A member 4,RITONAVIR,Small molecule,CHEMBL163,4.0,"['NCT04350684', 'NCT04350671']",MONDO_0100096,COVID-19
93,TUBB4A,tubulin beta 4A class IVa,COLCHICINE,Small molecule,CHEMBL107,4.0,['NCT05246072'],MONDO_0100096,COVID-19
94,RARB,retinoic acid receptor beta,ISOTRETINOIN,Small molecule,CHEMBL547,4.0,['NCT04623385'],MONDO_0100096,COVID-19
95,IFNAR1,interferon alpha and beta receptor subunit 1,INTERFERON BETA-1A,Protein,CHEMBL1201562,4.0,"['NCT04350684', 'NCT04350671']",MONDO_0100096,COVID-19
96,GABRB3,gamma-aminobutyric acid type A receptor subunit beta3,PROPOFOL,Small molecule,CHEMBL526,4.0,['NCT04359862'],MONDO_0100096,COVID-19
97,SELP,selectin P,CRIZANLIZUMAB,Antibody,CHEMBL4297734,4.0,['NCT04505774'],MONDO_0100096,COVID-19
98,CYP3A43,cytochrome P450 family 3 subfamily A member 43,RITONAVIR,Small molecule,CHEMBL163,4.0,"['NCT04350684', 'NCT04350671']",MONDO_0100096,COVID-19
99,AGTR1,angiotensin II receptor type 1,TELMISARTAN,Small molecule,CHEMBL1017,4.0,['NCT04355936'],MONDO_0100096,COVID-19
100,MMP7,matrix metallopeptidase 7,DOXYCYCLINE,Small molecule,CHEMBL1200699,4.0,['NCT04370782'],MONDO_0100096,COVID-19
101,NR3C1,nuclear receptor subfamily 3 group C member 1,DEXAMETHASONE,Small molecule,CHEMBL384467,4.0,"['NCT04528329', 'NCT05062681']",MONDO_0100096,COVID-19
102,MMP8,matrix metallopeptidase 8,DOXYCYCLINE,Small molecule,CHEMBL1200699,4.0,"['NCT04715295', 'NCT04729140']",MONDO_0100096,COVID-19
103,NR3C1,nuclear receptor subfamily 3 group C member 1,METHYLPREDNISOLONE,Small molecule,CHEMBL650,4.0,['NCT04530409'],MONDO_0100096,COVID-19
