,Protein,ENSG,UniProt,Source,Score,disease_id
0,IFNAR2,ENSG00000159110,P48551,uniprot_swissprot,0.6591588508925231,MONDO_0100096
1,TLR7,ENSG00000196664,Q9NYK1,uniprot_swissprot,0.6251651392482339,MONDO_0100096
2,TLR9,ENSG00000239732,Q9NR96,uniprot_swissprot,0.6213597009821413,MONDO_0100096
3,NR3C1,ENSG00000113580,P04150,uniprot_swissprot,0.6093265673356904,MONDO_0100096
4,VDR,ENSG00000111424,P11473,uniprot_swissprot,0.6031347157769598,MONDO_0100096
5,ACE2,ENSG00000130234,Q9BYF1,uniprot_swissprot,0.5990938046119729,MONDO_0100096
6,MMP1,ENSG00000196611,P03956,uniprot_swissprot,0.5980040524419411,MONDO_0100096
7,SERPINC1,ENSG00000117601,P01008,uniprot_swissprot,0.591885275449339,MONDO_0100096
8,CYP3A4,ENSG00000160868,P08684,uniprot_swissprot,0.588317369190997,MONDO_0100096
9,CYP3A5,ENSG00000106258,P20815,uniprot_swissprot,0.5853677347275403,MONDO_0100096
10,MMP7,ENSG00000137673,P09237,uniprot_swissprot,0.5851224997488462,MONDO_0100096
11,MMP8,ENSG00000118113,P22894,uniprot_swissprot,0.5845335779603501,MONDO_0100096
12,CYP3A7,ENSG00000160870,P24462,uniprot_swissprot,0.5843051926453218,MONDO_0100096
13,CYP3A43,ENSG00000021461,Q9HB55,uniprot_swissprot,0.5843051926453218,MONDO_0100096
14,F10,ENSG00000126218,P00742,uniprot_swissprot,0.5819286846350967,MONDO_0100096
15,MMP13,ENSG00000137745,P45452,uniprot_swissprot,0.5752169236151841,MONDO_0100096
16,IL6R,ENSG00000160712,P08887,uniprot_swissprot,0.5676426569222642,MONDO_0100096
17,IFNAR1,ENSG00000142166,P17181,uniprot_swissprot,0.5646743304844962,MONDO_0100096
18,SDC1,ENSG00000115884,P18827,uniprot_swissprot,0.5641010661357261,MONDO_0100096
19,AGTR1,ENSG00000144891,P30556,uniprot_swissprot,0.5537244864542742,MONDO_0100096
20,GPC1,ENSG00000063660,P35052,uniprot_swissprot,0.5430103345490354,MONDO_0100096
21,HSPG2,ENSG00000142798,P98160,uniprot_swissprot,0.542436099849819,MONDO_0100096
22,AGRN,ENSG00000188157,O00468,uniprot_swissprot,0.5421787798759948,MONDO_0100096
23,GPC3,ENSG00000147257,P51654,uniprot_swissprot,0.542091517965861,MONDO_0100096
24,SDC2,ENSG00000169439,P34741,uniprot_swissprot,0.5416090109333559,MONDO_0100096
25,GPC4,ENSG00000076716,O75487,uniprot_swissprot,0.5409211817593593,MONDO_0100096
26,GPC2,ENSG00000213420,Q8N158,uniprot_swissprot,0.5409211817593593,MONDO_0100096
27,GPC6,ENSG00000183098,Q9Y625,uniprot_swissprot,0.5409211817593593,MONDO_0100096
28,SDC3,ENSG00000162512,O75056,uniprot_swissprot,0.5409211817593593,MONDO_0100096
29,SDC4,ENSG00000124145,P31431,uniprot_swissprot,0.5409211817593593,MONDO_0100096
30,GPC5,ENSG00000179399,P78333,uniprot_swissprot,0.5409211817593593,MONDO_0100096
31,PTGS2,ENSG00000073756,P35354,uniprot_swissprot,0.5283488410166771,MONDO_0100096
32,FURIN,ENSG00000140564,P09958,uniprot_swissprot,0.5245421457294126,MONDO_0100096
33,TMPRSS2,ENSG00000184012,O15393,uniprot_swissprot,0.5234359463966993,MONDO_0100096
34,TUBB2A,ENSG00000137267,Q13885,uniprot_swissprot,0.5226254031761784,MONDO_0100096
35,CYSLTR1,ENSG00000173198,Q9Y271,uniprot_swissprot,0.5219025898665413,MONDO_0100096
36,GABRP,ENSG00000094755,O00591,uniprot_swissprot,0.52189513320782,MONDO_0100096
37,PTGS1,ENSG00000095303,P23219,uniprot_swissprot,0.5216343521221174,MONDO_0100096
38,GABRG2,ENSG00000113327,P18507,uniprot_swissprot,0.5214434958435379,MONDO_0100096
39,TUBB3,ENSG00000258947,Q13509,uniprot_swissprot,0.5211470837574397,MONDO_0100096
40,TUBB4B,ENSG00000188229,P68371,uniprot_swissprot,0.5208698988664261,MONDO_0100096
41,GABRA2,ENSG00000151834,P47869,uniprot_swissprot,0.5204606221946243,MONDO_0100096
42,TUBB8,ENSG00000261456,Q3ZCM7,uniprot_swissprot,0.5202231341207278,MONDO_0100096
43,GABRD,ENSG00000187730,O14764,uniprot_swissprot,0.5200091216484499,MONDO_0100096
