,Protein,ENSG,UniProt,Source,Score
0,GRIN2C,ENSG00000161509,Q14957,uniprot_swissprot,0.6022835939496345
1,GRIN3B,ENSG00000116032,O60391,uniprot_swissprot,0.6022835939496345
2,GRIN2D,ENSG00000105464,O15399,uniprot_swissprot,0.6022835939496345
3,GRIN2A,ENSG00000183454,Q12879,uniprot_swissprot,0.6022835939496345
4,GRIN1,ENSG00000176884,Q05586,uniprot_swissprot,0.6022835939496345
5,GRIN2B,ENSG00000273079,Q13224,uniprot_swissprot,0.6022835939496345
6,GRIN3A,ENSG00000198785,Q8TCU5,uniprot_swissprot,0.6022835939496345
7,PTGS2,ENSG00000073756,P35354,uniprot_swissprot,0.5754058570779708
8,PTGS1,ENSG00000095303,P23219,uniprot_swissprot,0.5677830154394783
9,KPNA1,ENSG00000114030,P52294,uniprot_swissprot,0.5511872888339344
10,FAAH,ENSG00000117480,O00519,uniprot_swissprot,0.548661826493589
11,TRPV1,ENSG00000196689,Q8NER1,uniprot_swissprot,0.5481074567115619
12,RANBP2,ENSG00000153201,P49792,uniprot_swissprot,0.5434788451645727
13,NUP214,ENSG00000126883,P35658,uniprot_swissprot,0.5433234508148099
14,NUP93,ENSG00000102900,Q8N1F7,uniprot_swissprot,0.5431386608874675
15,NUP58,ENSG00000139496,Q9BVL2,uniprot_swissprot,0.5427690810327829
16,NUP42,ENSG00000136243,O15504,uniprot_swissprot,0.5416603414687288
17,NUP98,ENSG00000110713,P52948,uniprot_swissprot,0.5415679465050576
18,NUP205,ENSG00000155561,Q92621,uniprot_swissprot,0.5414755515413864
19,NUP85,ENSG00000125450,Q9BW27,uniprot_swissprot,0.541290761614044
20,NUP153,ENSG00000124789,P49790,uniprot_swissprot,0.541290761614044
21,NDC1,ENSG00000058804,Q9BTX1,uniprot_swissprot,0.5409211817593593
22,NUP107,ENSG00000111581,P57740,uniprot_swissprot,0.5409211817593593
23,AAAS,ENSG00000094914,Q9NRG9,uniprot_swissprot,0.5409211817593593
24,NUP133,ENSG00000069248,Q8WUM0,uniprot_swissprot,0.5409211817593593
25,NUP43,ENSG00000120253,Q8NFH3,uniprot_swissprot,0.5409211817593593
26,NUP88,ENSG00000108559,Q99567,uniprot_swissprot,0.5409211817593593
27,NUP62,ENSG00000213024,P37198,uniprot_swissprot,0.5409211817593593
28,SEH1L,ENSG00000085415,Q96EE3,uniprot_swissprot,0.5409211817593593
29,NUP210,ENSG00000132182,Q8TEM1,uniprot_swissprot,0.5409211817593593
30,RAE1,ENSG00000101146,P78406,uniprot_swissprot,0.5409211817593593
31,NUP37,ENSG00000075188,Q8NFH4,uniprot_swissprot,0.5409211817593593
32,TPR,ENSG00000047410,P12270,uniprot_swissprot,0.5409211817593593
33,NUP35,ENSG00000163002,Q8NFH5,uniprot_swissprot,0.5409211817593593
34,KPNB1,ENSG00000108424,Q14974,uniprot_swissprot,0.5409211817593593
35,POM121C,ENSG00000272391,A8CG34,uniprot_swissprot,0.5409211817593593
36,NUP155,ENSG00000113569,O75694,uniprot_swissprot,0.5409211817593593
37,NUP54,ENSG00000138750,Q7Z3B4,uniprot_swissprot,0.5409211817593593
38,NUP188,ENSG00000095319,Q5SRE5,uniprot_swissprot,0.5409211817593593
39,NUP50,ENSG00000093000,Q9UKX7,uniprot_swissprot,0.5409211817593593
40,NUP160,ENSG00000030066,Q12769,uniprot_swissprot,0.5409211817593593
41,SEC13,ENSG00000157020,P55735,uniprot_swissprot,0.5409211817593593
42,POM121,ENSG00000196313,Q96HA1,uniprot_swissprot,0.5409211817593593
