drugId,smiles,MW,HBA,HBD,LogP,AtomNum,MolRefractivity,RotBond,TPSA,Charge,HeavyAtom,RingNum,Violation(s)_ro5,Lipinski_ro5,Ghose,Veber,REOS,QED,phase,Flag
CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,273.244,6,2,2.54542,20,71.0375,3,100.67,0,20,2,0,0,0,0,0,0,4,0
CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,271.404,2,0,3.3834,20,81.369,1,12.47,0,20,4,0,0,0,0,0,0,2,0
CHEMBL911,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,307.397,4,0,3.24884,23,92.5,3,37.61,0,23,3,0,0,0,0,0,0,2,0
CHEMBL1551,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,392.58,4,3,4.4779,28,108.6474,4,77.76,0,28,4,0,0,0,0,0,0,2,0
CHEMBL61872,CC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2C[C@H]1C)OCO3,337.379,6,2,2.543,25,94.7444,1,77.15,0,25,4,0,0,0,0,0,0,2,0
CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,313.869,3,1,3.4574,21,89.5718,5,32.7,0,21,2,0,0,0,0,0,0,3,0
CHEMBL1490,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,301.474,2,1,4.3305,22,91.8218,5,23.47,0,22,3,0,0,0,0,0,0,4,0
CHEMBL2346738,Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1,265.291,3,0,2.8527,20,74.586,2,30.19,0,20,3,0,0,0,0,0,0,2,0
CHEMBL656,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,315.369,5,1,1.0482,23,83.0178,1,59,0,23,5,0,0,0,0,0,0,3,0
CHEMBL3087515,COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1,313.397,4,1,2.71842,23,87.8638,0,49.77,0,23,3,0,0,0,0,0,0,2,0
CHEMBL1621597,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,332.464,4,1,2.8541,24,93.5132,5,46.53,1,24,3,0,0,0,0,0,0,2,0
CHEMBL2146110,Cl.Fc1ccc(-c2cncc(CNC[C@H]3CCc4ccccc4O3)c2)cc1,384.882,3,1,4.7929,27,107.7647,5,34.15,0,27,4,0,0,0,0,0,0,2,0
CHEMBL953,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,305.29,8,2,1.78138,22,77.944,5,127.7,0,22,1,0,0,0,0,0,0,4,0
CHEMBL1214124,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,349.393,4,0,4.43818,27,105.421,3,58.68,0,27,4,0,0,0,0,0,0,3,0
CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,291.376,5,1,1.2188,20,77.9885,2,62.3,0,20,3,0,0,0,0,0,0,2,0
CHEMBL650,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,374.477,5,3,1.8036,27,99.5954,2,94.83,0,27,4,0,0,0,0,0,0,1,0
CHEMBL611,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,387.44,9,2,1.0568,28,104.8214,4,103.04,0,28,4,0,0,0,0,0,0,1,0
CHEMBL1648,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,371.393,8,1,2.5822,27,96.3247,4,103.55,0,27,3,0,0,0,0,0,0,3,0
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,329.371,4,1,3.3265,24,88.1777,4,39.72,0,24,4,0,0,0,0,0,0,3,0
CHEMBL5314363,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl.Cl.O,358.265,4,4,2.8688,23,96.0964,0,75.2,0,23,4,0,0,0,0,0,0,4,0
CHEMBL160038,O=C(Cc1ccccc1)c1cc(O)c(O)c([N+](=O)[O-])c1,273.244,6,2,2.4314,20,70.9025,4,100.67,0,20,2,0,0,0,0,0,0,2,0
CHEMBL220808,Fc1ccc(-c2cncc(CNC[C@H]3CCc4ccccc4O3)c2)cc1,348.421,3,1,4.3711,26,100.5167,5,34.15,0,26,4,0,0,0,0,0,0,2,0
CHEMBL2146146,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,387.454,8,3,1.2781,26,94.1332,4,124.37,0,26,3,0,0,0,0,0,0,4,0
CHEMBL207538,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,318.501,2,1,4.5952,23,91.9048,1,37.3,0,23,4,0,0,0,0,0,0,1,0
CHEMBL2110659,O=C1Cc2c(ccc3c2O[C@@H](CNCc2ccccc2)CO3)N1,310.353,5,2,2.1108,23,86.8354,4,59.59,0,23,4,0,0,0,0,0,0,2,0
CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,278.312,7,0,0.193,20,74.747,5,78.89,0,20,2,0,0,0,0,0,0,2,0
CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,267.328,3,2,2.8499,20,77.9866,0,43.7,0,20,4,0,0,0,0,0,0,4,0
CHEMBL17350,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,327.424,4,3,2.7977,24,93.6744,4,63.93,0,24,3,0,0,0,0,0,0,2,0
CHEMBL716,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.517,5,1,2.856,27,109.1218,5,48.3,0,27,4,0,0,0,0,0,0,4,0
CHEMBL3989690,CCOC[C@@H]1[C@@H](c2ccc(Cl)c(Cl)c2)C[C@@H]2CC[C@H]1N2C,328.283,2,0,4.5962,21,88.376,4,12.47,0,21,3,0,0,0,0,0,0,2,0
CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,307.437,2,0,4.4178,23,93.407,4,12.47,0,23,4,0,0,0,0,0,0,4,0
CHEMBL531,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,314.498,2,1,4.2711,22,96.8847,4,19.03,0,22,4,0,0,0,0,0,0,4,0
CHEMBL1101,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,311.469,2,1,3.9624,23,94.0908,5,23.47,0,23,4,0,0,0,0,0,0,4,0
CHEMBL637,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,277.408,3,1,3.0356,20,82.3238,5,32.7,0,20,2,0,0,0,0,0,0,3,0
CHEMBL4297646,Fc1cc(F)c(OCc2ccccc2C2CCNCC2)c(F)c1,321.342,2,1,4.1499,23,81.9347,4,21.26,0,23,3,0,0,0,0,0,0,3,0
CHEMBL447664,Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,321.344,8,4,2.00242,24,89.9258,3,121.67,0,24,4,0,0,0,0,0,0,2,0
CHEMBL80,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,327.38,5,2,1.3014,24,87.2706,2,70,0,24,5,0,0,0,0,0,0,3,0
CHEMBL3697617,Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C,391.349,6,1,3.56354,28,96.5267,3,76.98,0,28,3,0,0,0,0,0,0,3,0
