approvedSymbol,Druggable Family,ENSG
TARBP1,No,ENSG00000059588
SPTB,No,ENSG00000070182
SMG6,No,ENSG00000070366
ADGRL1,No,ENSG00000072071
NLE1,No,ENSG00000073536
WNT8B,No,ENSG00000075290
P2RX5,Yes,ENSG00000083454
EPYC,No,ENSG00000083782
IPO11,No,ENSG00000086200
SRRT,No,ENSG00000087087
ERGIC2,No,ENSG00000087502
SUPT16H,No,ENSG00000092201
PSMA3,Yes,ENSG00000100567
NKAIN4,No,ENSG00000101198
SLC25A14,No,ENSG00000102078
VPS35L,No,ENSG00000103544
HPN,No,ENSG00000105707
DNAJB6,No,ENSG00000105993
HOXA6,No,ENSG00000106006
IQCE,No,ENSG00000106012
TLX1,No,ENSG00000107807
MRPL27,No,ENSG00000108826
PDE1A,Yes,ENSG00000115252
ABCB6,No,ENSG00000115657
TPO,Yes,ENSG00000115705
ATF2,No,ENSG00000115966
TRIM62,No,ENSG00000116525
SLC8A2,No,ENSG00000118160
ZBTB45,No,ENSG00000119574
EPCAM,No,ENSG00000119888
SEC16B,No,ENSG00000120341
OR2B6,No,ENSG00000124657
NALF2,No,ENSG00000130054
OASL,No,ENSG00000135114
SPDYE1,No,ENSG00000136206
TPGS1,No,ENSG00000141933
LMO4,No,ENSG00000143013
MGST3,No,ENSG00000143198
ACKR2,Yes,ENSG00000144648
IQSEC1,No,ENSG00000144711
GIN1,No,ENSG00000145723
ZC3HAV1L,No,ENSG00000146858
ITGB1BP2,No,ENSG00000147166
PMP2,No,ENSG00000147588
FBXO10,No,ENSG00000147912
OR13C4,No,ENSG00000148136
KCTD15,No,ENSG00000153885
ATP5MJ,No,ENSG00000156411
ZC3H18,No,ENSG00000158545
COA7,No,ENSG00000162377
TDRD5,No,ENSG00000162782
CRYGC,No,ENSG00000163254
SLC15A2,Yes,ENSG00000163406
TCP11L2,No,ENSG00000166046
MOBP,No,ENSG00000168314
SLC16A5,No,ENSG00000170190
NFRKB,No,ENSG00000170322
RALGAPB,No,ENSG00000170471
TSEN34,No,ENSG00000170892
CANT1,No,ENSG00000171302
ZNF57,No,ENSG00000171970
SHLD1,No,ENSG00000171984
TMCC1,No,ENSG00000172765
MRGPRF,Yes,ENSG00000172935
MARCHF3,No,ENSG00000173926
RAG2,No,ENSG00000175097
UBE2O,No,ENSG00000175931
SMIM19,No,ENSG00000176209
FAM210A,No,ENSG00000177150
GJD4,No,ENSG00000177291
AATK,Yes,ENSG00000181409
RELL1,No,ENSG00000181826
CREB3L2,No,ENSG00000182158
SLC25A21,No,ENSG00000183032
SHC4,No,ENSG00000185634
FAM120AOS,No,ENSG00000188938
SLC39A10,No,ENSG00000196950
C6orf141,No,ENSG00000197261
ZNF347,No,ENSG00000197937
MRPL42,No,ENSG00000198015
GJC2,No,ENSG00000198835
