id,name,type,class,HGNC_SYMBOL,UNIPROT,CHEBI,PUBCHEM,PUBCHEM_SUBSTANCE,GO,REACTOME,PUBMED
634264, LGE-derived GABAergic cell,Complex,element,NA,NA,NA,NA,NA,NA,NA,27034423
634281, POa-derived cell NR2F2+ NRP2+,Complex,element,NA,NA,NA,NA,NA,NA,NA,26305926
634187, POa-derived cell NR2F2- NRP2-,Complex,element,NA,NA,NA,NA,NA,NA,NA,22492355
634289, POa-derived cell NR2F2- NRP2-,Complex,element,NA,NA,NA,NA,NA,NA,NA,22492355
630511,14-3-3,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632296,14-3-3 sigma:Bax,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632365,14-3-3 zeta:Bax,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632320,14-3-3:p-BAD complex,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
628768,26S hybrid proteasome,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
627102,26S proteasome,Complex,element,NA,NA,NA,NA,NA,GO:0000502,NA,NA
629759,26S proteasome,Complex,element,NA,NA,NA,NA,NA,GO:0000502,NA,NA
629336,4EBP1:AGO2,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
633969,A2A:D2R,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632866,AHCYL1:ITPR3,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632880,AHCYL:ITPR3,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
631559,AKT,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
626724,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
629227,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
629648,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
631671,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
632596,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
632605,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
632846,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
632886,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
634006,AMPA receptor,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
628739,AMPA receptor:ligand,Complex,element,NA,NA,NA,NA,NA,GO:0032281,NA,NA
627345,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
627648,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
629342,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
629468,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
629479,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
629570,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
630039,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
630120,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
631360,AMPK,Complex,element,NA,NA,NA,NA,NA,GO:0031588,NA,NA
635146,AP-1 : SRR,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
635143,AP-1 transcription factor,Complex,element,NA,NA,NA,NA,NA,GO:0035976,NA,NA
635153,AP-1 transcription factor,Complex,element,NA,NA,NA,NA,NA,GO:0035976,NA,NA
632427,APAF1:CYCS,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
630502,APC/C,Complex,element,NA,NA,NA,NA,NA,GO:0005680,NA,NA
633238,APC/C,Complex,element,NA,NA,NA,NA,NA,GO:0005680,NA,NA
628632,APC/C-CDH1,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
633293,APC/C-CDH1,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
630582,ARHGEF7:LRRK2,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
627211,ARP2/3,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
627229,ARP2/3,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632168,ARP2/3,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632209,ARP2/3,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
628573,ARRB2:PP2A,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632038,ASK1:PARK7,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
631990,ASK1:TRAF2:TRAF6,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
632001,ASK1:TRAF2:TRAF6,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
629195,ATF6:BIP,Complex,element,NA,NA,NA,NA,NA,NA,NA,NA
