,variantid,gene_symbol,variant_dsi,variant_dpi,variant_consequence_type,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,year_initial,year_final,source,disease_id
0,rs1006737,CACNA1C,0.695,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.9,0.916666666666667,2010,2016,ALL,EFO_0003761
1,rs2535629,ITIH3,0.827,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.82,1.0,2013,2019,ALL,EFO_0003761
2,rs7647854,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.81,1.0,2013,2017,ALL,EFO_0003761
3,rs10065906,LOC105377684,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
4,rs10484358,GMPR,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
5,rs10774037,CACNA1C,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2019,ALL,EFO_0003761
6,rs10994338,ANK3,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
7,rs11773103,DMTF1,0.925,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
8,rs12054895,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
9,rs12410462,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
10,rs12446956,ZFHX3;LINC01568,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2012,2012,ALL,EFO_0003761
11,rs12912251,LINC02694,0.882,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
12,rs1558477,LOC107986780,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2009,2011,ALL,EFO_0003761
13,rs17077540,LOC643542;LOC105372174,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
14,rs17082664,SYNE1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2011,2011,ALL,EFO_0003761
15,rs17538444,ENOX1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.8,1.0,2013,2013,ALL,EFO_0003761
